% Model:              JH_0104_coupled_lib_model_1d.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 8 2026, 15:19
% Dimension:          0
% Nodes:              3601
% Expressions:        6
% Description:        Point Probe 1, , , , Open-circuit cell voltage, Battery cell state of charge
% u_par                   C_par                    t                        E_cell (V)               -I_cell (A)              -Rx_cell (N)             -u_cell (m)              E_ocv_cell (V)           soc_cell (1)
0                         0.1                      0                        4.32085066944354         0.49782155022043484      848.7092992726926        0                        4.324999830830402        0.9999999444444447
0                         0.1                      10                       4.3148562559117325       0.49782155022043484      -213271.11676926105      0                        4.324154152007121        0.9997222222222224
0                         0.1                      20                       4.312312788448898        0.49782155022043484      -427433.7753696086       0                        4.323308304014242        0.9994444444444447
0                         0.1                      30                       4.310343807444957        0.49782155022043484      -641596.4339699228       0                        4.322462456021362        0.999166666666667
0                         0.1                      40                       4.308646647812219        0.49782155022043484      -855759.0925702777       0                        4.321616608028483        0.9988888888888889
0                         0.1                      50                       4.307093529663941        0.49782155022043484      -1069921.751170605       0                        4.320770760035603        0.9986111111111112
0                         0.1                      60                       4.30565372680955         0.49782155022043484      -1284084.4097709132      0                        4.319924912042723        0.9983333333333336
0                         0.1                      70                       4.304317596525774        0.49782155022043484      -1498247.0683712738      0                        4.319079064049844        0.9980555555555559
0                         0.1                      80                       4.303040333395973        0.49782155022043484      -1712409.7269715704      0                        4.318233216056965        0.9977777777777781
0                         0.1                      90                       4.3018129094146556       0.49782155022043484      -1926572.385571897       0                        4.317387368064085        0.9975000000000004
0                         0.1                      100                      4.300642335245916        0.49782155022043484      -2140735.0441722125      0                        4.316541520071206        0.9972222222222225
0                         0.1                      110                      4.299508474490078        0.49782155022043484      -2354897.702772532       0                        4.315695672078327        0.9969444444444446
0                         0.1                      120                      4.2984038935941316       0.49782155022043484      -2569060.3613728895      0                        4.314849824085447        0.9966666666666667
0                         0.1                      130                      4.297338492182458        0.49782155022043484      -2783223.019973228       0                        4.314003976092567        0.996388888888889
0                         0.1                      140                      4.2963005094418305       0.49782155022043484      -2997385.678573535       0                        4.313158128099688        0.9961111111111114
0                         0.1                      150                      4.29527261141215         0.49782155022043484      -3211548.337173892       0                        4.312312280106808        0.9958333333333337
0                         0.1                      160                      4.294267549324638        0.49782155022043484      -3425710.995774239       0                        4.311466432113929        0.9955555555555557
0                         0.1                      170                      4.29328249508774         0.49782155022043484      -3639873.6543745752      0                        4.310620584121049        0.9952777777777781
0                         0.1                      180                      4.292303955065428        0.49782155022043484      -3854036.3129749303      0                        4.30977473612817         0.9950000000000002
0                         0.1                      190                      4.291339924252901        0.49782155022043484      -4068198.971575263       0                        4.30892888813529         0.9947222222222224
0                         0.1                      200                      4.290390402650156        0.49782155022043484      -4282361.630175552       0                        4.308083040142411        0.9944444444444447
0                         0.1                      210                      4.289441857847398        0.49782155022043484      -4496524.288775876       0                        4.307237192149531        0.9941666666666669
0                         0.1                      220                      4.288501374591301        0.49782155022043484      -4710686.947376237       0                        4.306391344156651        0.9938888888888892
0                         0.1                      230                      4.287568954944329        0.49782155022043484      -4924849.605976533       0                        4.305545496163773        0.9936111111111114
0                         0.1                      240                      4.286644598906484        0.49782155022043484      -5139012.264576871       0                        4.304699648170893        0.9933333333333334
0                         0.1                      250                      4.285728306477765        0.49782155022043484      -5353174.923177174       0                        4.303853800178013        0.9930555555555557
0                         0.1                      260                      4.2848200776581695       0.49782155022043484      -5567337.581777513       0                        4.303007952185134        0.992777777777778
0                         0.1                      270                      4.283915562250703        0.49782155022043484      -5781500.24037786        0                        4.302162104192254        0.9925000000000002
0                         0.1                      280                      4.283014550292815        0.49782155022043484      -5995662.898978204       0                        4.301316256199375        0.9922222222222227
0                         0.1                      290                      4.282119529671727        0.49782155022043484      -6209825.557578541       0                        4.300470408206495        0.9919444444444446
0                         0.1                      300                      4.281230500387439        0.49782155022043484      -6423988.216178866       0                        4.299626066537791        0.9916666666666669
0                         0.1                      310                      4.280347462439951        0.49782155022043484      -6638150.874779163       0                        4.298782693894437        0.9913888888888891
0                         0.1                      320                      4.279470415829263        0.49782155022043484      -6852313.5333795445      0                        4.297939321251082        0.9911111111111114
