u_par;C;t;V;I;F;u;Ue;soc;eta;pulse;trajectory
0;0.033333333333333326;0.0;4.094950674508902;0.033333333333333326;0;0;4.099999971453577;1.0;0.005049296944674708;False;0
0;0.033333333333333326;10.000926011667747;4.094402514446376;0.033333333333333326;0;0;4.0999117674552865;0.9999073988332253;0.005509253008910697;False;0
0;0.033333333333333326;20.001852023335495;4.094103908010638;0.033333333333333326;0;0;4.099823263641085;0.9998147976664506;0.005719355630446898;False;0
0;0.033333333333333326;30.002778035003242;4.0938712861434094;0.033333333333333326;0;0;4.0997344584267;0.9997221964996759;0.005863172283290474;False;0
0;0.033333333333333326;40.00370404667099;4.09367629809357;0.033333333333333326;0;0;4.099645350231842;0.9996295953329012;0.005969052138272701;False;0
0;0.033333333333333326;50.00463005833873;4.093506216349892;0.033333333333333326;0;0;4.099555937480644;0.9995369941661265;0.006049721130751529;False;0
0;0.033333333333333326;60.005556070006485;4.093352946064211;0.033333333333333326;0;0;4.099466218601181;0.9994443929993518;0.006113272536969916;False;0
0;0.033333333333333326;70.00648208167424;4.093211497705692;0.033333333333333326;0;0;4.0993761920257175;0.999351791832577;0.006164694320025532;False;0
0;0.033333333333333326;80.00740809334198;4.093076993627903;0.033333333333333326;0;0;4.09928585619059;0.9992591906658024;0.006208862562687045;False;0
0;0.033333333333333326;90.00833410500972;4.0929488002433505;0.033333333333333326;0;0;4.099195209535893;0.9991665894990277;0.0062464092925420545;False;0
0;0.033333333333333326;100.00926011667747;4.09282562814325;0.033333333333333326;0;0;4.099104250505866;0.999073988332253;0.006278622362616559;False;0
0;0.033333333333333326;110.01018612834523;4.092706739422864;0.033333333333333326;0;0;4.099012977548778;0.9989813871654782;0.006306238125914021;False;0
0;0.033333333333333326;120.01111214001297;4.092590856001009;0.033333333333333326;0;0;4.098921389116695;0.9988887859987036;0.006330533115685988;False;0
0;0.033333333333333326;130.0120381516807;4.0924774947049904;0.033333333333333326;0;0;4.0988294836647645;0.9987961848319289;0.006351988959774069;False;0
0;0.033333333333333326;140.01296416334847;4.092366131302102;0.033333333333333326;0;0;4.098737259652904;0.9987035836651542;0.006371128350802557;False;0
0;0.033333333333333326;150.0138901750162;4.092256584413348;0.033333333333333326;0;0;4.09864471554431;0.9986109824983794;0.006388131130962371;False;0
0;0.033333333333333326;160.01481618668396;4.092148343858246;0.033333333333333326;0;0;4.0985518498059115;0.9985183813316048;0.0064035059476657;False;0
0;0.033333333333333326;170.01574219835172;4.092041195496516;0.033333333333333326;0;0;4.098458660908355;0.9984257801648301;0.006417465411838741;False;0
0;0.033333333333333326;180.01666821001945;4.091934907881559;0.033333333333333326;0;0;4.098365147325904;0.9983331789980554;0.006430239444345176;False;0
0;0.033333333333333326;190.0175942216872;4.091829143417451;0.033333333333333326;0;0;4.098271307536441;0.9982405778312807;0.0064421641189902346;False;0
0;0.033333333333333326;200.01852023335493;4.091723609837018;0.033333333333333326;0;0;4.0981771400214475;0.9981479766645059;0.00645353018442929;False;0
0;0.033333333333333326;210.0194462450227;4.091618292721702;0.033333333333333326;0;0;4.098082643266095;0.9980553754977313;0.006464350544392872;False;0
0;0.033333333333333326;220.02037225669045;4.091513243774146;0.033333333333333326;0;0;4.097987815758963;0.9979627743309566;0.006474571984817601;False;0
