state-of-charge;open-circuit voltage/V
0;2.4876226754158
0.00061;2.51816476265809
0.00062;2.51859905499456
0.00063;2.51903334733102
0.00064;2.51946763966749
0.00065;2.51990193200396
0.00066;2.52033622434042
0.00067;2.52077051667689
0.00068;2.52120480901336
0.00069;2.52163910134982
0.0007;2.52207339368629
0.00071;2.52250768602276
0.00072;2.52294197835923
0.00073;2.52337627069569
0.00074;2.52381056303216
0.00075;2.52424485536863
0.00076;2.52467914770509
0.00077;2.52511344004156
0.00078;2.52554773237803
0.00079;2.52598202471449
0.0008;2.52641631705096
0.00081;2.52685060938743
0.00082;2.52728490172389
0.00083;2.52771919406036
0.00084;2.52815348639683
0.00085;2.52858777873329
0.00086;2.52902207106976
0.00087;2.52945636340623
0.00088;2.52989065574269
0.00089;2.53032494807916
0.0009;2.53075924041563
0.00091;2.5311935327521
0.00092;2.53162782508856
0.00093;2.53206211742503
0.00094;2.5324964097615
0.00095;2.53293070209796
0.00096;2.53336499443443
0.00097;2.5337992867709
0.00098;2.53423357910736
0.00099;2.53466787144383
0.001;2.5351021637803
0.00101;2.53553645611676
0.00102;2.53597074845323
0.00103;2.5364050407897
0.00104;2.53683933312616
0.00105;2.53727362546263
0.00106;2.5377079177991
0.00107;2.53814221013556
0.00108;2.53857650247203
0.00109;2.5390107948085
0.0011;2.53944508714497
0.00111;2.53987937948143
0.00112;2.5403136718179
0.00113;2.54074796415437
0.00114;2.54118225649083
0.00115;2.5416165488273
0.00116;2.54205084116377
0.00117;2.54248513350023
0.00118;2.5429194258367
0.00119;2.54335371817317
0.0012;2.54378801050963
0.00121;2.5442223028461
0.00122;2.54465659518257
0.00123;2.54509088751903
0.00124;2.5455251798555
0.00125;2.54595947219197
0.00126;2.54639376452843
0.00127;2.5468280568649
0.00128;2.54726234920137
0.00129;2.54769664153784
0.0013;2.5481309338743
0.00131;2.54856522621077
0.00132;2.54899951854724
0.00133;2.5494338108837
0.00134;2.54986810322017
0.00135;2.55035553932114
0.00136;2.55085868749161
0.00137;2.55136183566208
0.00138;2.55186498383255
0.00139;2.55236813200302
0.0014;2.55287128017349
0.00141;2.55337442834396
0.00142;2.55387757651444
0.00143;2.55438072468491
0.00144;2.55488387285538
0.00145;2.55538702102585
0.00146;2.55589016919632
0.00147;2.55639331736679
0.00148;2.55689646553726
0.00149;2.55739961370773
0.0015;2.5579027618782
0.00151;2.55840591004868
0.00152;2.55890905821915
0.00153;2.55941220638962
0.00154;2.55991535456009
0.00155;2.56041850273056
0.00156;2.56092165090103
0.00157;2.5614247990715
0.00158;2.56192794724197
0.00159;2.56243109541245
0.0016;2.56293424358292
0.00161;2.56343342535975
0.00162;2.56390636698266
0.00163;2.56437930860557
0.00164;2.56485225022849
0.00165;2.5653251918514
0.00166;2.56579813347431
0.00167;2.56627107509722
0.00168;2.56674401672013
0.00169;2.56721695834304
0.0017;2.56768989996595
0.00171;2.56816284158886
0.00172;2.56863578321178
0.00173;2.56910872483469
0.00174;2.5695816664576
0.00175;2.57005460808051
0.00176;2.57052754970342
0.00177;2.57100049132633
0.00178;2.57147343294924
0.00179;2.57194637457216
0.0018;2.57241931619507
0.00181;2.57289225781798
0.00182;2.57336519944089
0.00183;2.5738381410638
0.00184;2.57431108268671
0.00185;2.57478402430962
0.00186;2.57525696593253
0.00187;2.57572990755545
0.00188;2.57620284917836
0.00189;2.57667579080127
0.0019;2.57714873242418
0.00191;2.57762167404709
0.00192;2.57809461567
0.00193;2.57856755729291
0.00194;2.57904049891583
0.00195;2.57951344053874
0.00196;2.57998638216165
0.00197;2.58045932378456
0.00198;2.58093226540747
0.00199;2.58140520703038
0.002;2.58187814865329
0.00201;2.5823510902762
0.00202;2.58282403189911
0.00203;2.58329697352203
0.00204;2.58376991514494
0.00205;2.58424285676785
0.00206;2.58471579839076
0.00207;2.58518874001367
0.00208;2.58566168163658
0.00209;2.58613462325949
0.0021;2.58660756488241
0.00211;2.58708050650532
0.00212;2.58755344812823
0.00213;2.58802638975114
0.00214;2.58849933137405
0.00215;2.58897227299696
0.00216;2.58944521461987
0.00217;2.58991815624278
0.00218;2.5903910978657
0.00219;2.59086403948861
0.0022;2.59133698111152
0.00221;2.59180992273443
0.00222;2.59228286435734
0.00223;2.59275580598025
0.00224;2.59322874760316
0.00225;2.59370168922608
0.00226;2.59417463084899
0.00227;2.5946475724719
0.00228;2.59512051409481
0.00229;2.59559345571772
0.0023;2.59606639734063
0.00231;2.59653933896354
0.00232;2.59701228058645
0.00233;2.59748522220937
0.00234;2.59795816383228
0.00235;2.59843110545519
0.00236;2.5989040470781
