,I,co,cn,c-dot,dt
79,0.25,29472.484800763086,29475.685804353347,1.6798875676685125,2.0007611428628636
80,0.25,29475.685804353347,29478.896066078927,1.684746239640558,2.0007611428628636
81,0.25,29478.896066078927,29482.115360236538,1.6894864624639752,2.0007611428628636
82,0.25,29482.115360236538,29485.343461122884,1.6941082361388553,2.0007611428628636
83,0.25,29485.343461122884,29488.5801430347,1.6986115606668348,2.0007611428628636
84,0.25,29488.5801430347,29491.825180268675,1.7029964360457315,2.0007611428628636
85,0.25,29491.825180268675,29495.07834712152,1.7072628622752728,2.0007611428628636
86,0.25,29495.07834712152,29498.339417889965,1.7114108393576408,2.0007611428628636
87,0.25,29498.339417889965,29501.608166870705,1.7154403672923804,2.0007611428628636
88,0.25,29501.608166870705,29504.884368360454,1.7193514460772192,2.0007611428628636
89,0.25,29504.884368360454,29508.16779665592,1.7231440757150667,2.0007611428628636
90,0.25,29508.16779665592,29511.45822605382,1.7268182562036494,2.0007611428628636
91,0.25,29511.45822605382,29514.755430850877,1.7303739875441495,2.0007611428628636
92,0.25,29514.755430850877,29518.059185343776,1.7338112697372943,2.0007611428628636
93,0.25,29518.059185343776,29521.36926382925,1.7371301027814472,2.0007611428628636
94,0.25,29521.36926382925,29524.685440603986,1.7403304866769722,2.0007611428628636
95,0.25,29524.685440603986,29528.007489964722,1.7434124214247781,2.0007611428628636
96,0.25,29528.007489964722,29531.335186208154,1.746375907023047,2.0007611428628636
97,0.25,29531.335186208154,29534.668303631002,1.749220943475233,2.0007611428628636
98,0.25,29534.668303631002,29538.00661652997,1.751947530777064,2.0007611428628636
99,0.25,29538.00661652997,29541.34989920176,1.7545556689317212,2.0007611428628636
100,0.25,29541.34989920176,29544.697925943106,1.7570453579384777,2.0007611428628636
101,0.25,29544.697925943106,29548.050471050705,1.7594165977946061,2.0007611428628636
102,0.25,29548.050471050705,29551.407308821268,1.7616693885050154,2.0007611428628636
103,0.25,29551.407308821268,29554.76821355151,1.7638037300667058,2.0007611428628636
104,0.25,29554.76821355151,29558.132959538147,1.765819622478677,2.0007611428628636
105,0.25,29558.132959538147,29561.501321077867,1.7677170657438388,2.0007611428628636
106,0.25,29561.501321077867,29564.873072467406,1.7694960598602811,2.0007611428628636
107,0.25,29564.873072467406,29568.247988003463,1.7711566048270955,2.0007611428628636
108,0.25,29568.247988003463,29571.625841982768,1.7726987006481,2.0007611428628636
109,0.25,29571.625841982768,29575.00637790793,1.7741061865799195,2.0007611428628636
110,0.25,29575.00637790793,29578.388717584046,1.77505279557865,2.0007611428628636
111,0.25,29578.388717584046,29581.772623011282,1.7758745021990512,2.0007611428628636
112,0.25,29581.772623011282,29585.158202260372,1.7767529243682618,2.0007611428628636
113,0.25,29585.158202260372,29588.545563402033,1.7776880620807365,2.0007611428628636
114,0.25,29588.545563402033,29591.934814506993,1.778679915341384,2.0007611428628636
115,0.25,29591.934814506993,29595.32606364597,1.7797284841477503,2.0007611428628636
116,0.25,29595.32606364597,29598.719418889694,1.7808337684988347,2.0007611428628636
117,0.25,29598.719418889694,29602.114988308887,1.7819957683973653,2.0007611428628636
118,0.25,29602.114988308887,29605.512879974274,1.7832144838409778,2.0007611428628636
119,0.25,29605.512879974274,29608.913201956588,1.7844899148305813,2.0007611428628636
120,0.25,29608.913201956588,29612.316062326536,1.7858220613668125,2.0007611428628636
121,0.25,29612.316062326536,29615.72156915486,1.7872109234494897,2.0007611428628636
122,0.25,29615.72156915486,29619.129830512273,1.788656501076067,2.0007611428628636
123,0.25,29619.129830512273,29622.54095446951,1.7901587942510901,2.0007611428628636
124,0.25,29622.54095446951,29625.955049097272,1.7917178029698317,2.0007611428628636
125,0.25,29625.955049097272,29629.372222466307,1.7933335272367465,2.0007611428628636
126,0.25,29629.372222466307,29632.792582647337,1.7950059670481977,2.0007611428628636
127,0.25,29632.792582647337,29636.216237711084,1.7967351224068222,2.0007611428628636
128,0.25,29636.216237711084,29639.643295728252,1.7985209933111652,2.0007611428628636
129,0.25,29639.643295728252,29643.073864769594,1.8003635797604083,2.0007611428628636
130,0.25,29643.073864769594,29646.508052905832,1.8022628817560973,2.0007611428628636
131,0.25,29646.508052905832,29649.94596820767,1.80421889929905,2.0007611428628636
132,0.25,29649.94596820767,29653.387718745857,1.8062316323861758,2.0007611428628636
133,0.25,29653.387718745857,29656.833412591095,1.8083010810210203,2.0007611428628636
134,0.25,29656.833412591095,29660.283157814127,1.8104272452004013,2.0007611428628636
135,0.25,29660.283157814127,29663.737062485656,1.8126101249273192,2.0007611428628636
136,0.25,29663.737062485656,29667.195234676434,1.814849720199319,2.0007611428628636
137,0.25,29667.195234676434,29670.657782457158,1.8171460310157643,2.0007611428628636
138,0.25,29670.657782457158,29674.124813898572,1.819499057381474,2.0007611428628636
139,0.25,29674.124813898572,29677.596437071395,1.821908799290993,2.0007611428628636
140,0.25,29677.596437071395,29681.07276004635,1.8243752567474123,2.0007611428628636
141,0.25,29681.07276004635,29684.553890894156,1.8268984297491864,2.0007611428628636
142,0.25,29684.553890894156,29688.039937685542,1.829478318297679,2.0007611428628636
143,0.25,29688.039937685542,29691.53022144266,1.8317018790785116,2.0007611428628636
144,0.25,29691.53022144266,29695.019402216705,1.8311230332571438,2.0007611428628636
145,0.25,29695.019402216705,29698.50651356037,1.8300369956279807,2.0007611428628636
146,0.25,29698.50651356037,29701.99162245905,1.8289861119395432,2.0007611428628636
147,0.25,29701.99162245905,29705.474795898084,1.8279703821941038,2.0007611428628636
148,0.25,29705.474795898084,29708.956100862877,1.8269898063882077,2.0007611428628636
149,0.25,29708.956100862877,29712.435604338778,1.826044384523401,2.0007611428628636
150,0.25,29712.435604338778,29715.91337331116,1.8251341166003192,2.0007611428628636
151,0.25,29715.91337331116,29719.38947476542,1.8242590026185992,2.0007611428628636
152,0.25,29719.38947476542,29722.863975686876,1.823419042576514,2.0007611428628636
153,0.25,29722.863975686876,29726.336943060942,1.8226142364763356,2.0007611428628636
154,0.25,29726.336943060942,29729.808443872986,1.821844584318428,2.0007611428628636
155,0.25,29729.808443872986,29733.278545108362,1.8211100860987912,2.0007611428628636
156,0.25,29733.278545108362,29736.747313752443,1.8204107418224253,2.0007611428628636
157,0.25,29736.747313752443,29740.214816790605,1.8197465514859663,2.0007611428628636
158,0.25,29740.214816790605,29743.68112120822,1.819117515092051,2.0007611428628636
159,0.25,29743.68112120822,29747.146293990656,1.8185236326372247,2.0007611428628636
160,0.25,29747.146293990656,29750.610402123293,1.8179649041245782,2.0007611428628636
161,0.25,29750.610402123293,29754.073512591483,1.8174413295521117,2.0007611428628636
162,0.25,29754.073512591483,29757.535692380607,1.816952908921825,2.0007611428628636
163,0.25,29757.535692380607,29760.99700847604,1.8164996422322637,2.0007611428628636
164,0.25,29760.99700847604,29764.45752786314,1.8160815294832457,2.0007611428628636
165,0.25,29764.45752786314,29767.91731752729,1.8156985706757716,2.0007611428628636
166,0.25,29767.91731752729,29771.37644445386,1.8153507658087498,2.0007611428628636
167,0.25,29771.37644445386,29774.834975628226,1.815038114883817,2.0007611428628636
168,0.25,29774.834975628226,29778.292978035734,1.8147606178988824,2.0007611428628636
169,0.25,29778.292978035734,29781.75051866178,1.8145182748554003,2.0007611428628636
170,0.25,29781.75051866178,29785.207664491718,1.814311085753189,2.0007611428628636
171,0.25,29785.207664491718,29788.664482510936,1.8141390505914303,2.0007611428628636
172,0.25,29788.664482510936,29792.121039704787,1.8140021693714878,2.0007611428628636
173,0.25,29792.121039704787,29795.577403058654,1.8139004420918163,2.0007611428628636
174,0.25,29795.577403058654,29799.03363955791,1.8138338687545064,2.0007611428628636
175,0.25,29799.03363955791,29802.489816187903,1.8138024493561944,2.0007611428628636
176,0.25,29802.489816187903,29805.945999934032,1.8138061839001536,2.0007611428628636
177,0.25,29805.945999934032,29809.402257781643,1.8138450723858377,2.0007611428628636
178,0.25,29809.402257781643,29812.858656716133,1.813919114811702,2.0007611428628636
179,0.25,29812.858656716133,29816.315263722867,1.8140283111780187,2.0007611428628636
180,0.25,29816.315263722867,29819.77214578719,1.814172661486697,2.0007611428628636
181,0.25,29819.77214578719,29823.229369894496,1.8143521657347372,2.0007611428628636
182,0.25,29823.229369894496,29826.687003030158,1.8145668239257755,2.0007611428628636
183,0.25,29826.687003030158,29830.14511217953,1.8148166360564482,2.0007611428628636
184,0.25,29830.14511217953,29833.603764327992,1.815101602128846,2.0007611428628636
185,0.25,29833.603764327992,29837.063026460917,1.815421722142333,2.0007611428628636
186,0.25,29837.063026460917,29840.522965563672,1.8157769960958179,2.0007611428628636
187,0.25,29840.522965563672,29843.983648621634,1.816167423992483,2.0007611428628636
188,0.25,29843.983648621634,29847.445142620167,1.8165930058277822,2.0007611428628636
189,0.25,29847.445142620167,29850.907514544637,1.8170537416057162,2.0007611428628636
190,0.25,29850.907514544637,29854.37083138043,1.817549631324557,2.0007611428628636
191,0.25,29854.37083138043,29857.8351601129,1.8180806749830323,2.0007611428628636
192,0.25,29857.8351601129,29861.30056772743,1.8186468725845057,2.0007611428628636
193,0.25,29861.30056772743,29864.767121209385,1.8192482241257955,2.0007611428628636
194,0.25,29864.767121209385,29868.23488754413,1.819884729609083,2.0007611428628636
195,0.25,29868.23488754413,29871.703933717057,1.8205563890325507,2.0007611428628636
196,0.25,29871.703933717057,29875.174326713517,1.821263202396107,2.0007611428628636
197,0.25,29875.174326713517,29878.646133518883,1.8220051697032982,2.0007611428628636
198,0.25,29878.646133518883,29882.119421118532,1.822782290949578,2.0007611428628636
199,0.25,29882.119421118532,29885.594256497836,1.823594566138038,2.0007611428628636
200,0.25,29885.594256497836,29889.07070664215,1.8244419952662232,2.0007611428628636
201,0.25,29889.07070664215,29892.548838536866,1.8253245783372247,2.0007611428628636
202,0.25,29892.548838536866,29896.02871916734,1.8262423153474059,2.0007611428628636
203,0.25,29896.02871916734,29899.51041551895,1.8271952062996764,2.0007611428628636
204,0.25,29899.51041551895,29902.99399457706,1.8281832511930354,2.0007611428628636
205,0.25,29902.99399457706,29906.479523327045,1.8292064500263019,2.0007611428628636
206,0.25,29906.479523327045,29909.967068754286,1.830264802803021,2.0007611428628636
207,0.25,29909.967068754286,29913.456697844147,1.8313583095193744,2.0007611428628636
208,0.25,29913.456697844147,29916.94847758198,1.8324869701752713,2.0007611428628636
209,0.25,29916.94847758198,29920.442474953175,1.8336507847738026,2.0007611428628636
210,0.25,29920.442474953175,29923.9387569431,1.8348497533149686,2.0007611428628636
211,0.25,29923.9387569431,29927.436070730506,1.8353912409172983,2.0007611428628636
212,0.25,29927.436070730506,29930.932669460977,1.8350159788360314,2.0007611428628636
213,0.25,29930.932669460977,29934.42856688976,1.8346479355239511,2.0007611428628636
214,0.25,29934.42856688976,29937.923786636762,1.8342922879281673,2.0007611428628636
215,0.25,29937.923786636762,29941.41835232181,1.8339490360470438,2.0007611428628636
216,0.25,29941.41835232181,29944.91228756482,1.8336181798810351,2.0007611428628636
217,0.25,29944.91228756482,29948.405615985645,1.833299719431687,2.0007611428628636
218,0.25,29948.405615985645,29951.89836120414,1.8329936546966352,2.0007611428628636
219,0.25,29951.89836120414,29955.390546840204,1.8326999856755162,2.0007611428628636
220,0.25,29955.390546840204,29958.882196513703,1.832418712371876,2.0007611428628636
221,0.25,29958.882196513703,29962.3733338445,1.8321498347831686,2.0007611428628636
222,0.25,29962.3733338445,29965.86398245247,1.8318933529091217,2.0007611428628636
223,0.25,29965.86398245247,29969.35416595748,1.8316492667498256,2.0007611428628636
224,0.25,29969.35416595748,29972.843907979423,1.8314175763079177,2.0007611428628636
225,0.25,29972.843907979423,29976.33323213814,1.8311982815795786,2.0007611428628636
226,0.25,29976.33323213814,29979.822162053526,1.8309913825670816,2.0007611428628636
227,0.25,29979.822162053526,29983.310721345457,1.830796879271336,2.0007611428628636
228,0.25,29983.310721345457,29986.798933633785,1.8306147716868868,2.0007611428628636
229,0.25,29986.798933633785,29990.28682253839,1.8304450598214619,2.0007611428628636
230,0.25,29990.28682253839,29993.77441167914,1.8302877436702425,2.0007611428628636
231,0.25,29993.77441167914,29997.261724675922,1.8301428232345014,2.0007611428628636
232,0.25,29997.261724675922,30000.74878514859,1.8300102985139661,2.0007611428628636
233,0.25,30000.74878514859,30004.23561671703,1.8298901695078185,2.0007611428628636
234,0.25,30004.23561671703,30007.72224300111,1.8297824362184218,2.0007611428628636
235,0.25,30007.72224300111,30011.208687620685,1.8296870986435039,2.0007611428628636
236,0.25,30011.208687620685,30014.694974195656,1.8296041567858825,2.0007611428628636
237,0.25,30014.694974195656,30018.181126345873,1.8295336106395577,2.0007611428628636
238,0.25,30018.181126345873,30021.66716769122,1.8294754602116203,2.0007611428628636
239,0.25,30021.66716769122,30025.153121851563,1.8294297054985253,2.0007611428628636
240,0.25,30025.153121851563,30028.639012446776,1.8293963464998175,2.0007611428628636
241,0.25,30028.639012446776,30032.124863096727,1.829375383217043,2.0007611428628636
242,0.25,30032.124863096727,30035.6106974213,1.8293668156503833,2.0007611428628636
243,0.25,30035.6106974213,30039.09653904035,1.8293706437972925,2.0007611428628636
244,0.25,30039.09653904035,30042.582411573763,1.8293868676613172,2.0007611428628636
245,0.25,30042.582411573763,30046.06833864139,1.8294154872400017,2.0007611428628636
246,0.25,30046.06833864139,30049.55434386313,1.829456502532074,2.0007611428628636
247,0.25,30049.55434386313,30053.040450858844,1.829509913543443,2.0007611428628636
248,0.25,30053.040450858844,30056.52668324841,1.8295757202667444,2.0007611428628636
249,0.25,30056.52668324841,30060.013064651685,1.8296539227069792,2.0007611428628636
250,0.25,30060.013064651685,30063.499618688547,1.8297445208608745,2.0007611428628636
251,0.25,30063.499618688547,30066.98636897887,1.829847514731975,2.0007611428628636
252,0.25,30066.98636897887,30070.47333914253,1.8299629043179182,2.0007611428628636
253,0.25,30070.47333914253,30073.960552799388,1.8300906896182485,2.0007611428628636
254,0.25,30073.960552799388,30077.44803356932,1.830230870635512,2.0007611428628636
255,0.25,30077.44803356932,30080.93580507221,1.8303834473665266,2.0007611428628636
256,0.25,30080.93580507221,30084.423890927923,1.8305484198140196,2.0007611428628636
257,0.25,30084.423890927923,30087.912314756315,1.830725787976082,2.0007611428628636
258,0.25,30087.912314756315,30091.401100177285,1.8309155518530775,2.0007611428628636
259,0.25,30091.401100177285,30094.89027081068,1.8311177114462787,2.0007611428628636
260,0.25,30094.89027081068,30098.379850276386,1.8313322667544127,2.0007611428628636
261,0.25,30098.379850276386,30101.86986219427,1.83155921777848,2.0007611428628636
262,0.25,30101.86986219427,30105.360330184216,1.8317985645172983,2.0007611428628636
263,0.25,30105.360330184216,30108.85127786608,1.8320503069715042,2.0007611428628636
264,0.25,30108.85127786608,30112.342728859738,1.8323144451404612,2.0007611428628636
265,0.25,30112.342728859738,30115.83470678507,1.8325909790257149,2.0007611428628636
266,0.25,30115.83470678507,30119.32723526194,1.8328799086258107,2.0007611428628636
267,0.25,30119.32723526194,30122.820337910227,1.833181233941203,2.0007611428628636
268,0.25,30122.820337910227,30126.31403834978,1.8334949549714374,2.0007611428628636
269,0.25,30126.31403834978,30129.8083602005,1.8338210717182413,2.0007611428628636
270,0.25,30129.8083602005,30133.303327082253,1.8341595841796146,2.0007611428628636
271,0.25,30133.303327082253,30136.798962614903,1.8345104923562843,2.0007611428628636
272,0.25,30136.798962614903,30140.295290418326,1.8348737962474326,2.0007611428628636
273,0.25,30140.295290418326,30143.792334112382,1.8352494958551504,2.0007611428628636
274,0.25,30143.792334112382,30147.290117316963,1.8356375911785283,2.0007611428628636
275,0.25,30147.290117316963,30150.78866365193,1.8360380822161118,2.0007611428628636
276,0.25,30150.78866365193,30154.287996737152,1.8364509689693558,2.0007611428628636
277,0.25,30154.287996737152,30157.78814019251,1.8368762514370782,2.0007611428628636
278,0.25,30157.78814019251,30161.28900454349,1.8372545776609577,2.0007611428628636
279,0.25,30161.28900454349,30164.789428235654,1.8370233197909127,2.0007611428628636
280,0.25,30164.789428235654,30168.289112869756,1.8366354619181753,2.0007611428628636
281,0.25,30168.289112869756,30171.788074404678,1.8362559792663247,2.0007611428628636
282,0.25,30171.788074404678,30175.286328799284,1.8358848718362695,2.0007611428628636
283,0.25,30175.286328799284,30178.783892012463,1.835522139629919,2.0007611428628636
284,0.25,30178.783892012463,30182.28078000308,1.8351677826420913,2.0007611428628636
285,0.25,30182.28078000308,30185.77700873001,1.834821800878423,2.0007611428628636
286,0.25,30185.77700873001,30189.272594152117,1.8344841943352774,2.0007611428628636
287,0.25,30189.272594152117,30192.767552228303,1.8341549630146547,2.0007611428628636
288,0.25,30192.767552228303,30196.261898917423,1.8338341069153732,2.0007611428628636
289,0.25,30196.261898917423,30199.755650178347,1.8335216260381597,2.0007611428628636
290,0.25,30199.755650178347,30203.24882196996,1.8332175203821968,2.0007611428628636
291,0.25,30203.24882196996,30206.741430251142,1.8329217899488472,2.0007611428628636
292,0.25,30206.741430251142,30210.23349098075,1.8326344347362935,2.0007611428628636
293,0.25,30210.23349098075,30213.725020117676,1.83235545474599,2.0007611428628636
294,0.25,30213.725020117676,30217.21603362078,1.8320848499773907,2.0007611428628636
295,0.25,30217.21603362078,30220.706547448954,1.8318226204306784,2.0007611428628636
296,0.25,30220.706547448954,30224.196577561048,1.8315687661055797,2.0007611428628636
297,0.25,30224.196577561048,30227.68613991596,1.8313232870019132,2.0007611428628636
298,0.25,30227.68613991596,30231.175250472552,1.8310861831214964,2.0007611428628636
299,0.25,30231.175250472552,30234.663925189703,1.8308574544604208,2.0007611428628636
300,0.25,30234.663925189703,30238.152180026278,1.8306371010233229,2.0007611428628636
301,0.25,30238.152180026278,30241.640030941162,1.830425122806475,2.0007611428628636
302,0.25,30241.640030941162,30245.127493893233,1.8302215198120588,2.0007611428628636
303,0.25,30245.127493893233,30248.61458484136,1.8300262920396202,2.0007611428628636
304,0.25,30248.61458484136,30252.101319744408,1.829839439487886,2.0007611428628636
305,0.25,30252.101319744408,30255.58771456128,1.829660962160039,2.0007611428628636
306,0.25,30255.58771456128,30259.073785250806,1.8294908600513506,2.0007611428628636
307,0.25,30259.073785250806,30262.5595477719,1.8293291331660035,2.0007611428628636
308,0.25,30262.5595477719,30266.045018083416,1.8291757815018155,2.0007611428628636
309,0.25,30266.045018083416,30269.530212144244,1.8290308050602413,2.0007611428628636
310,0.25,30269.530212144244,30273.01514591324,1.8288942038390994,2.0007611428628636
311,0.25,30273.01514591324,30276.49983534929,1.8287659778406617,2.0007611428628636
312,0.25,30276.49983534929,30279.984296411276,1.8286461270645653,2.0007611428628636
313,0.25,30279.984296411276,30283.468545058036,1.8285346515079917,2.0007611428628636
314,0.25,30283.468545058036,30286.952597248495,1.828431551175941,2.0007611428628636
315,0.25,30286.952597248495,30290.4364689415,1.8283368260635948,2.0007611428628636
316,0.25,30290.4364689415,30293.920176095922,1.8282504761743172,2.0007611428628636
317,0.25,30293.920176095922,30297.403734670657,1.828172501505926,2.0007611428628636
318,0.25,30297.403734670657,30300.88716062456,1.8281029020596031,2.0007611428628636
319,0.25,30300.88716062456,30304.370469916514,1.8280416778343487,2.0007611428628636
320,0.25,30304.370469916514,30307.853678505373,1.8279888288329806,2.0007611428628636
321,0.25,30307.853678505373,30311.336802350048,1.8279443550505898,2.0007611428628636
322,0.25,30311.336802350048,30314.81985740939,1.8279082564921767,2.0007611428628636
323,0.25,30314.81985740939,30318.302859642266,1.8278805331541046,2.0007611428628636
324,0.25,30318.302859642266,30321.785825007577,1.827861185038464,2.0007611428628636
325,0.25,30321.785825007577,30325.268769464183,1.8278502121447107,2.0007611428628636
326,0.25,30325.268769464183,30328.751708970958,1.8278476144715705,2.0007611428628636
327,0.25,30328.751708970958,30332.23465948677,1.8278533920222262,2.0007611428628636
328,0.25,30332.23465948677,30335.717636970505,1.8278675447924957,2.0007611428628636
329,0.25,30335.717636970505,30339.200657381032,1.8278900727869245,2.0007611428628636
330,0.25,30339.200657381032,30342.68373667723,1.8279209760005122,2.0007611428628636
331,0.25,30342.68373667723,30346.16689081797,1.8279602544381683,2.0007611428628636
332,0.25,30346.16689081797,30349.650135762124,1.8280079080954383,2.0007611428628636
333,0.25,30349.650135762124,30353.133487468574,1.8280639369760492,2.0007611428628636
334,0.25,30353.133487468574,30356.61696189618,1.8281283410772742,2.0007611428628636
335,0.25,30356.61696189618,30360.100575003846,1.82820112040184,2.0007611428628636
336,0.25,30360.100575003846,30363.58434275041,1.8282822749463832,2.0007611428628636
337,0.25,30363.58434275041,30367.068281094766,1.8283718047135404,2.0007611428628636
338,0.25,30367.068281094766,30370.5524059958,1.828469709703493,2.0007611428628636
339,0.25,30370.5524059958,30374.036733412362,1.8285759899129683,2.0007611428628636
340,0.25,30374.036733412362,30377.521279303335,1.8286906453453304,2.0007611428628636
341,0.25,30377.521279303335,30381.0060596276,1.8288136760001243,2.0007611428628636
342,0.25,30381.0060596276,30384.491090344025,1.8289450818761686,2.0007611428628636
343,0.25,30384.491090344025,30387.97638741149,1.82908486297319,2.0007611428628636
344,0.25,30387.97638741149,30391.461966788862,1.8292330192928252,2.0007611428628636
345,0.25,30391.461966788862,30394.947844435017,1.8293895508346198,2.0007611428628636
346,0.25,30394.947844435017,30398.433895077735,1.829480339473988,2.0007611428628636
347,0.25,30398.433895077735,30401.91986259563,1.8294367155451698,2.0007611428628636
348,0.25,30401.91986259563,30405.405741771876,1.8293903538214857,2.0007611428628636
349,0.25,30405.405741771876,30408.891533306112,1.8293443592734164,2.0007611428628636
