u_par;C;t;V;I;F;u;Ue;soc;eta;pulse;trajectory
0;0.8304670364169725;0.0;3.7597142697586015;0.8304670364169725;0;0;3.8518206633137257;1.0;0.09210639355512429;False;0
0;0.8304670364169725;1.000277854959711;3.7580468984035638;0.8304670364169725;0;0;3.851675725801889;0.9997692506150551;0.09362882739832523;False;0
0;0.8304670364169725;2.000555709919422;3.756765595699437;0.8304670364169725;0;0;3.851530765270308;0.99953850123011;0.09476516957087089;False;0
0;0.8304670364169725;3.0008335648791333;3.7557063857041277;0.8304670364169725;0;0;3.8513857824675384;0.9993077518451651;0.09567939676341064;False;0
0;0.8304670364169725;4.001111419838844;3.7547795303208975;0.8304670364169725;0;0;3.851240778142008;0.9990770024602201;0.09646124782111043;False;0
0;0.8304670364169725;5.001389274798555;3.753941435760054;0.8304670364169725;0;0;3.851095753042047;0.9988462530752751;0.09715431728199286;False;0
0;0.8304670364169725;6.001667129758267;3.753168397382665;0.8304670364169725;0;0;3.8509507079157714;0.9986155036903301;0.09778231053310638;False;0
0;0.8304670364169725;7.001944984717978;3.752445993563612;0.8304670364169725;0;0;3.8508056435111118;0.9983847543053852;0.09835964994749968;False;0
0;0.8304670364169725;8.002222839677689;3.751764733546001;0.8304670364169725;0;0;3.8506605605756743;0.9981540049204402;0.09889582702967337;False;0
0;0.8304670364169725;9.0025006946374;3.7511180037242675;0.8304670364169725;0;0;3.8505154598568105;0.9979232555354952;0.09939745613254303;False;0
0;0.8304670364169725;10.00277854959711;3.750500973007912;0.8304670364169725;0;0;3.85037034210148;0.9976925061505503;0.0998693690935677;False;0
0;0.8304670364169725;11.003056404556823;3.749909984342248;0.8304670364169725;0;0;3.850225208056267;0.9974617567656052;0.10031522371401902;False;0
0;0.8304670364169725;12.003334259516533;3.7493421854096516;0.8304670364169725;0;0;3.8500800584673236;0.9972310073806603;0.10073787305767201;False;0
0;0.8304670364169725;13.003612114476244;3.7487952944186373;0.8304670364169725;0;0;3.849934894080321;0.9970002579957153;0.10113959966168373;False;0
0;0.8304670364169725;14.003889969435956;3.748267445660941;0.8304670364169725;0;0;3.849789715640428;0.9967695086107703;0.10152226997948732;False;0
0;0.8304670364169725;15.004167824395667;3.7477570878670914;0.8304670364169725;0;0;3.8496445238922323;0.9965387592258254;0.10188743602514094;False;0
0;0.8304670364169725;16.004445679355378;3.7472629017886203;0.8304670364169725;0;0;3.849499319579763;0.9963080098408804;0.10223641779114256;False;0
0;0.8304670364169725;17.00472353431509;3.746783747210715;0.8304670364169725;0;0;3.849354103446409;0.9960772604559354;0.10257035623569433;False;0
0;0.8304670364169725;18.0050013892748;3.746318641817322;0.8304670364169725;0;0;3.849208876234902;0.9958465110709904;0.10289023441757994;False;0
0;0.8304670364169725;19.00527924423451;3.745866714899306;0.8304670364169725;0;0;3.8490636386872565;0.9956157616860455;0.10319692378795065;False;0
0;0.8304670364169725;20.00555709919422;3.7454271910140857;0.8304670364169725;0;0;3.848918391544774;0.9953850123011004;0.1034912005306885;False;0
0;0.8304670364169725;21.005834954153933;3.744999373489732;0.8304670364169725;0;0;3.848773135547976;0.9951542629161555;0.10377376205824396;False;0
0;0.8304670364169725;22.006112809113645;3.7445826315565154;0.8304670364169725;0;0;3.8486278714365794;0.9949235135312106;0.10404523988006398;False;0
0;0.8304670364169725;23.006390664073354;3.7441763903132923;0.8304670364169725;0;0;3.8484825999494534;0.9946927641462655;0.1043062096361611;False;0
0;0.8304670364169725;24.006668519033067;3.7437801226454734;0.8304670364169725;0;0;3.848337321824597;0.9944620147613206;0.10455719917912365;False;0
0;0.8304670364169725;25.00694637399278;3.743393342770438;0.8304670364169725;0;0;3.8481920377991057;0.9942312653763755;0.10479869502866768;False;0
0;0.8304670364169725;26.007224228952488;3.743015600968832;0.8304670364169725;0;0;3.8480467486091463;0.9940005159914306;0.10503114764031452;False;0
0;0.8304670364169725;27.0075020839122;3.7426464792649057;0.8304670364169725;0;0;3.8479014549899007;0.9937697666064856;0.10525497572499498;False;0
0;0.8304670364169725;28.007779938871913;3.7422855877779666;0.8304670364169725;0;0;3.8477561576755646;0.9935390172215406;0.10547056989759795;False;0
0;0.8304670364169725;29.00805779383162;3.741932559674555;0.8304670364169725;0;0;3.8476108573992724;0.9933082678365956;0.10567829772471748;False;0
0;0.8304670364169725;30.008335648791334;3.7415870549168604;0.8304670364169725;0;0;3.8474655548931262;0.9930775184516507;0.10587849997626586;False;0
0;0.8304670364169725;31.008613503751043;3.7412487518703674;0.8304670364169725;0;0;3.847320250888102;0.9928467690667057;0.10607149901773472;False;0
0;0.8304670364169725;32.008891358710756;3.7409173474013073;0.8304670364169725;0;0;3.8471749461140963;0.9926160196817607;0.10625759871278895;False;0
0;0.8304670364169725;33.00916921367047;3.7405925552724106;0.8304670364169725;0;0;3.8470296412998324;0.9923852702968158;0.10643708602742175;False;0
0;0.8304670364169725;34.00944706863018;3.7402741047774324;0.8304670364169725;0;0;3.846884337172853;0.9921545209118707;0.10661023239542056;False;0
