(r,x,t)             variable
(50, 686)         	 R-averaged positive particle concentration [mol.m-3]
(686,)            	 Average positive particle concentration [mol.m-3]
(50, 686)         	 Positive particle surface concentration [mol.m-3]
(686,)            	 X-averaged positive particle surface concentration [mol.m-3]
(686,)            	 Minimum positive particle concentration [mol.m-3]
(686,)            	 Maximum positive particle concentration [mol.m-3]
(686,)            	 Minimum positive particle Minimum positive particle surface concentration [mol.m-3]
(686,)            	 Maximum positive particle surface concentration [mol.m-3]
(10, 50, 686)     	 Positive particle concentration
(10, 686)         	 X-averaged positive particle concentration
(50, 686)         	 R-averaged positive particle concentration
(686,)            	 Average positive particle concentration
(50, 686)         	 Positive particle surface concentration
(686,)            	 X-averaged positive particle surface concentration
(686,)            	 Minimum positive particle concentration
(686,)            	 Maximum positive particle concentration
(686,)            	 Minimum positive particle surface concentration
(686,)            	 Maximum positive particle surface concentration
(10, 50, 686)     	 Positive particle stoichiometry
(10, 686)         	 X-averaged positive particle stoichiometry
(50, 686)         	 R-averaged positive particle stoichiometry
(686,)            	 Average positive particle stoichiometry
(50, 686)         	 Positive particle surface stoichiometry
(686,)            	 X-averaged positive particle surface stoichiometry
(686,)            	 Minimum positive particle stoichiometry
(686,)            	 Maximum positive particle stoichiometry
(686,)            	 Minimum positive particle surface stoichiometry
(686,)            	 Maximum positive particle surface stoichiometry
(50, 686)         	 Positive electrode extent of lithiation
(686,)            	 X-averaged positive electrode extent of lithiation
(130, 686)        	 Porosity times concentration [mol.m-3]
(50, 686)         	 Negative electrode porosity times concentration [mol.m-3]
(30, 686)         	 Separator porosity times concentration [mol.m-3]
(50, 686)         	 Positive electrode porosity times concentration [mol.m-3]
(686,)            	 Total lithium in electrolyte [mol]
(131, 686)        	 Electrolyte flux [mol.m-2.s-1]
(686,)            	 Ambient temperature [K]
(686,)            	 Volume-averaged ambient temperature [K]
(130, 686)        	 Cell temperature [K]
(686,)            	 Negative current collector temperature [K]
(686,)            	 Positive current collector temperature [K]
(686,)            	 X-averaged cell temperature [K]
(686,)            	 Volume-averaged cell temperature [K]
(50, 686)         	 Negative electrode temperature [K]
(686,)            	 X-averaged negative electrode temperature [K]
(30, 686)         	 Separator temperature [K]
(686,)            	 X-averaged separator temperature [K]
(50, 686)         	 Positive electrode temperature [K]
(686,)            	 X-averaged positive electrode temperature [K]
(686,)            	 Ambient temperature [C]
(686,)            	 Volume-averaged ambient temperature [C]
(130, 686)        	 Cell temperature [C]
(686,)            	 Negative current collector temperature [C]
(686,)            	 Positive current collector temperature [C]
(686,)            	 X-averaged cell temperature [C]
(686,)            	 Volume-averaged cell temperature [C]
(50, 686)         	 Negative electrode temperature [C]
(686,)            	 X-averaged negative electrode temperature [C]
(30, 686)         	 Separator temperature [C]
(686,)            	 X-averaged separator temperature [C]
(50, 686)         	 Positive electrode temperature [C]
(686,)            	 X-averaged positive electrode temperature [C]
(686,)            	 Negative current collector potential [V]
(50, 686)         	 Negative SEI concentration [mol.m-3]
(686,)            	 X-averaged negative SEI concentration [mol.m-3]
(686,)            	 Volume-averaged negative SEI concentration [mol.m-3]
(686,)            	 Loss of lithium to negative SEI [mol]
(686,)            	 Loss of capacity to negative SEI [A.h]
(50, 686)         	 Negative electrode SEI interfacial current density [A.m-2]
(686,)            	 X-averaged negative electrode SEI interfacial current density [A.m-2]
(50, 686)         	 Positive SEI concentration [mol.m-3]
(686,)            	 X-averaged positive SEI concentration [mol.m-3]
(686,)            	 Volume-averaged positive SEI concentration [mol.m-3]
(686,)            	 Loss of lithium to positive SEI [mol]
(686,)            	 Loss of capacity to positive SEI [A.h]
(50, 686)         	 Positive electrode SEI interfacial current density [A.m-2]
(686,)            	 X-averaged positive electrode SEI interfacial current density [A.m-2]
(50, 686)         	 Negative SEI on cracks concentration [mol.m-3]
(686,)            	 X-averaged negative SEI on cracks concentration [mol.m-3]
(686,)            	 Volume-averaged negative SEI on cracks concentration [mol.m-3]
(686,)            	 Loss of lithium to negative SEI on cracks [mol]
(686,)            	 Loss of capacity to negative SEI on cracks [A.h]
(50, 686)         	 Negative electrode SEI on cracks interfacial current density [A.m-2]
(686,)            	 X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
(50, 686)         	 Positive SEI on cracks concentration [mol.m-3]
(686,)            	 X-averaged positive SEI on cracks concentration [mol.m-3]
(686,)            	 Volume-averaged positive SEI on cracks concentration [mol.m-3]
(686,)            	 Loss of lithium to positive SEI on cracks [mol]
(686,)            	 Loss of capacity to positive SEI on cracks [A.h]
(50, 686)         	 Positive electrode SEI on cracks interfacial current density [A.m-2]
(686,)            	 X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
(50, 686)         	 Negative lithium plating concentration [mol.m-3]
(686,)            	 X-averaged negative lithium plating concentration [mol.m-3]
(686,)            	 Volume-averaged negative lithium plating concentration [mol.m-3]
(50, 686)         	 Negative dead lithium concentration [mol.m-3]
(686,)            	 X-averaged negative dead lithium concentration [mol.m-3]
(686,)            	 Volume-averaged negative dead lithium concentration [mol.m-3]
(50, 686)         	 Negative lithium plating thickness [m]
(686,)            	 X-averaged negative lithium plating thickness [m]
(686,)            	 Volume-averaged negative lithium plating thickness [m]
(50, 686)         	 Negative dead lithium thickness [m]
(686,)            	 X-averaged negative dead lithium thickness [m]
(686,)            	 Volume-averaged negative dead lithium thickness [m]
(686,)            	 Loss of lithium to negative lithium plating [mol]
(686,)            	 Loss of capacity to negative lithium plating [A.h]
(50, 686)         	 Negative electrode lithium plating interfacial current density [A.m-2]
(686,)            	 X-averaged negative electrode lithium plating interfacial current density [A.m-2]
(50, 686)         	 Negative electrode lithium plating reaction overpotential [V]
(686,)            	 X-averaged negative electrode lithium plating reaction overpotential [V]
(50, 686)         	 Positive lithium plating concentration [mol.m-3]
(686,)            	 X-averaged positive lithium plating concentration [mol.m-3]
(686,)            	 Volume-averaged positive lithium plating concentration [mol.m-3]
(50, 686)         	 Positive dead lithium concentration [mol.m-3]
(686,)            	 X-averaged positive dead lithium concentration [mol.m-3]
(686,)            	 Volume-averaged positive dead lithium concentration [mol.m-3]
(50, 686)         	 Positive lithium plating thickness [m]
(686,)            	 X-averaged positive lithium plating thickness [m]
(686,)            	 Volume-averaged positive lithium plating thickness [m]
(50, 686)         	 Positive dead lithium thickness [m]
(686,)            	 X-averaged positive dead lithium thickness [m]
(686,)            	 Volume-averaged positive dead lithium thickness [m]
(686,)            	 Loss of lithium to positive lithium plating [mol]
(686,)            	 Loss of capacity to positive lithium plating [A.h]
(50, 686)         	 Positive electrode lithium plating interfacial current density [A.m-2]
(686,)            	 X-averaged positive electrode lithium plating interfacial current density [A.m-2]
(50, 686)         	 Positive electrode lithium plating reaction overpotential [V]
(686,)            	 X-averaged positive electrode lithium plating reaction overpotential [V]
(50, 686)         	 Negative crack surface to volume ratio [m-1]
(50, 686)         	 Negative electrode roughness ratio
(686,)            	 X-averaged negative electrode roughness ratio
(50, 686)         	 Positive crack surface to volume ratio [m-1]
(50, 686)         	 Positive electrode roughness ratio
(686,)            	 X-averaged positive electrode roughness ratio
(130, 686)        	 Electrolyte transport efficiency
(50, 686)         	 Negative electrolyte transport efficiency
(686,)            	 X-averaged negative electrolyte transport efficiency
(30, 686)         	 Separator electrolyte transport efficiency
(686,)            	 X-averaged separator electrolyte transport efficiency
(50, 686)         	 Positive electrolyte transport efficiency
