noise_level,mean_rmse,std_rmse
0.0,0.026515243971056635,0.006264094965079699
2.0,0.027303045626258713,0.00597265010673325
4.0,0.029688318088736343,0.005644899979385499
6.0,0.03303539253043375,0.004632437029019754
8.0,0.037589359825113036,0.0044015320059903155
10.0,0.04298024476859076,0.0039121967569464905
12.0,0.0495928258089156,0.004070236101018637
14.000000000000002,0.056197097996014286,0.004330164657558857
16.0,0.06358220034289634,0.005047037248702356
18.0,0.07158500172369096,0.0065325697620053445
