u_par;C;t;V;F;u;Ue;soc;I;trajectory;eta
0;1;11;4.321892166778149;-8.68210456744027e-09;0.0;4.324999904918194;0.9999999687749892;0.0;11;0.0031077381400450577
0;1;1;4.270610499967994;2.354497618265866e-06;0.0;4.324162949012491;0.999725111172274;4.978215502204348;11;0.05355244904449741
0;1;2;4.262468753716434;4.742843769624164e-06;0.0;4.323317101019611;0.9994473333944962;4.978215502204348;11;0.06084834730317645
0;1;3;4.256206153086528;7.131249506174106e-06;0.0;4.322471253026731;0.9991695556167184;4.978215502204348;11;0.06626509994020324
0;1;4;4.25098049300459;9.519714822514648e-06;0.0;4.321625405033853;0.9988917778389406;4.978215502204348;11;0.07064491202926249
0;1;5;4.246343970690762;1.1908239750971245e-05;0.0;4.320779557040972;0.998614000061163;4.978215502204348;11;0.07443558635021041
0;1;6;4.242102354745413;1.4296824284242293e-05;0.0;4.319933709048093;0.9983362222833853;4.978215502204348;11;0.07783135430268029
0;1;7;4.238214800653833;1.668546841324046e-05;0.0;4.3190878610552135;0.9980584445056072;4.978215502204348;11;0.08087306040138031
0;1;8;4.234640744134748;1.9074172197482853e-05;0.0;4.318242013062334;0.9977806667278296;4.978215502204348;11;0.08360126892758579
0;1;9;4.231288001052948;2.146293551863903e-05;0.0;4.317396165069454;0.9975028889500518;4.978215502204348;11;0.08610816401650556
0;1;10;4.228188114852007;2.3851758612075707e-05;0.0;4.316550317076575;0.997225111172274;4.978215502204348;11;0.08836220222456781
0;1;11;4.225353681905497;2.6240641286573824e-05;0.0;4.3157044690836965;0.9969473333944964;4.978215502204348;11;0.09035078717819989
0;1;12;4.222950393832111;2.862958428898632e-05;0.0;4.314858621090815;0.9966695556167184;4.978215502204348;11;0.0919082272587044
0;1;13;4.220973249933875;3.101858651801146e-05;0.0;4.314012773097937;0.9963917778389404;4.978215502204348;11;0.0930395231640615
0;1;14;4.219398993272901;3.340764882269351e-05;0.0;4.313166925105057;0.996114000061163;4.978215502204348;11;0.09376793183215604
0;1;15;4.218055303236705;3.579677044356195e-05;0.0;4.312321077112178;0.995836222283385;4.978215502204348;11;0.09426577387547308
0;1;16;4.216858581272223;3.8185952037476856e-05;0.0;4.3114752291192975;0.9955584445056076;4.978215502204348;11;0.09461664784707491
0;1;17;4.21565822300629;4.057519290771386e-05;0.0;4.310629381126418;0.9952806667278296;4.978215502204348;11;0.0949711581201278
0;1;18;4.2145033780708;4.296449381494758e-05;0.0;4.3097835331335395;0.9950028889500516;4.978215502204348;11;0.09528015506273935
0;1;19;4.2133933550134595;4.535385519061133e-05;0.0;4.30893768514066;0.994725111172274;4.978215502204348;11;0.09554433012720054
0;1;20;4.212312428548077;4.774327500974407e-05;0.0;4.30809183714778;0.9944473333944962;4.978215502204348;11;0.0957794085997028
0;1;21;4.2112689487227675;5.013275490791397e-05;0.0;4.307245989154901;0.9941695556167184;4.978215502204348;11;0.09597704043213362
0;1;22;4.210262915537531;5.252229527329021e-05;0.0;4.306400141162022;0.9938917778389408;4.978215502204348;11;0.09613722562449034
0;1;23;4.209276349422216;5.4911894269496545e-05;0.0;4.305554293169141;0.9936140000611628;4.978215502204348;11;0.09627794374692566
0;1;24;4.20831640079201;5.7301553095536614e-05;0.0;4.304708445176263;0.9933362222833853;4.978215502204348;11;0.09639204438425253
0;1;25;4.2073842531589705;5.969127223928311e-05;0.0;4.303862597183383;0.9930584445056072;4.978215502204348;11;0.0964783440244128
0;1;26;4.206463922111649;6.20810500090143e-05;0.0;4.303016749190503;0.9927806667278296;4.978215502204348;11;0.09655282707885426
0;1;27;4.205557757651734;6.447088695038862e-05;0.0;4.3021709011976235;0.9925028889500518;4.978215502204348;11;0.09661314354588946
0;1;28;4.204669010995753;6.686078374932017e-05;0.0;4.301325053204744;0.992225111172274;4.978215502204348;11;0.09665604220899127
0;1;29;4.203797682143702;6.925074068428706e-05;0.0;4.3004792052118646;0.991947333394496;4.978215502204348;11;0.09668152306816236
0;1;30;4.202943771095585;7.164075803447227e-05;0.0;4.299634837798981;0.9916695556167184;4.978215502204348;11;0.09669106670339556
0;1;31;4.2021072778514;7.403083608007053e-05;0.0;4.298791465155627;0.9913917778389408;4.978215502204348;11;0.09668418730422701
0;1;32;4.201281240807815;7.642097267813651e-05;0.0;4.2979480925122715;0.9911140000611628;4.978215502204348;11;0.09666685170445621
0;1;33;4.200463114434034;7.88111671350713e-05;0.0;4.297104719868917;0.9908362222833852;4.978215502204348;11;0.09664160543488354
0;1;34;4.199658438803907;8.120142159482464e-05;0.0;4.296261347225563;0.9905584445056071;4.978215502204348;11;0.09660290842165598
0;1;35;4.198867213917438;8.359173629408596e-05;0.0;4.295417974582208;0.9902806667278296;4.978215502204348;11;0.09655076066476997
0;1;36;4.198089439774624;8.598211146907599e-05;0.0;4.294574601938855;0.9900028889500516;4.978215502204348;11;0.09648516216423086
0;1;37;4.197325116375468;8.837254735805757e-05;0.0;4.293731229295501;0.989725111172274;4.978215502204348;11;0.09640611292003332
0;1;38;4.196570616260952;9.076304307843027e-05;0.0;4.292887856652145;0.9894473333944962;4.978215502204348;11;0.09631724039119316
0;1;39;4.195815831961567;9.31535956672112e-05;0.0;4.292044484008792;0.9891695556167184;4.978215502204348;11;0.09622865204722508
0;1;40;4.195070027136312;9.5544208133989e-05;0.0;4.291201111365438;0.9888917778389408;4.978215502204348;11;0.09613108422912564
0;1;41;4.194333201785186;9.793488066469156e-05;0.0;4.290357738722083;0.988614000061163;4.978215502204348;11;0.09602453693689661
0;1;42;4.193605355908189;0.00010032561344558543;0.0;4.28951436607873;0.9883362222833852;4.978215502204348;11;0.09590901017054065
0;1;43;4.192886489505321;0.00010271640666331027;0.0;4.288670993435375;0.9880584445056074;4.978215502204348;11;0.09578450393005333
0;1;44;4.192176602576583;0.00010510726050494088;0.0;4.2878276207920205;0.9877806667278296;4.978215502204348;11;0.09565101821543731
0;1;45;4.191466117093299;0.00010749817126975237;0.0;4.286984248148666;0.987502888950052;4.978215502204348;11;0.09551813105536766
0;1;46;4.190761753933512;0.00010988914176524409;0.0;4.286140875505312;0.987225111172274;4.978215502204348;11;0.09537912157180006
0;1;47;4.190063675635062;0.00011228017220388272;0.0;4.285297502861957;0.9869473333944964;4.978215502204348;11;0.09523382722689533
0;1;48;4.189371882197949;0.00011467126273357646;0.0;4.284454130218602;0.9866695556167184;4.978215502204348;11;0.09508224802065346
0;1;49;4.188686373622173;0.00011706241350208417;0.0;4.283610757575249;0.9863917778389404;4.978215502204348;11;0.09492438395307623
0;1;50;4.188007149907733;0.00011945362465766646;0.0;4.282767384931894;0.9861140000611628;4.978215502204348;11;0.09476023502416098
0;1;51;4.1873302960732195;0.00012184489419832469;0.0;4.281924012288541;0.9858362222833852;4.978215502204348;11;0.09459371621532142
0;1;52;4.186656798742305;0.00012423622274732545;0.0;4.281080639645186;0.9855584445056074;4.978215502204348;11;0.09442384090288058
0;1;53;4.185988011846008;0.0001266276111587963;0.0;4.280237267001832;0.9852806667278295;4.978215502204348;11;0.09424925515582405
0;1;54;4.185323935384328;0.00012901905955184256;0.0;4.279393894358478;0.985002888950052;4.978215502204348;11;0.09406995897415005
