R0,R1,C1,k,C,u_per,soc
0.7916332222521305,10.193369537591934,12.686939453125,2.429674379527569,0.9808,0.07133333333333333,0.351
0.9863350540399551,0.6898533552885056,11.2636484375,3.1221680343151093,0.9752000000000001,0.8102,0.944
1.1311211623251438,0.7313871290534735,11.2290322265625,3.137621283531189,0.7866,0.8323333333333333,0.994
0.7355506997555494,0.8136806078255177,12.245658203125,2.6598718017339706,0.6828000000000001,0.31816666666666665,0.386
0.808233954012394,0.6781832315027714,11.2508193359375,3.393002599477768,0.5187999999999999,0.9323666666666667,0.754
0.7478677667677402,28.825119137763977,1.57270849609375,2.488081157207489,0.806,0.08836666666666666,0.165
0.6065676920115948,0.9598731063306332,12.5390908203125,3.5871531814336777,0.8624,0.9703999999999999,0.419
0.6852929480373859,1.1471129022538662,12.5636767578125,2.9254892840981483,0.7994,0.5390666666666667,0.387
0.7744047790765762,28.801381587982178,3.303898681640625,2.4212006479501724,0.9226000000000001,0.0329,0.243
0.8499421179294586,0.5597794894129038,12.131837890625,2.4200480431318283,0.9638,0.1137,0.555
0.8690943941473961,1.0352191515266895,9.55562890625,3.050519898533821,0.0728,0.5754666666666667,0.159
0.8576713502407074,0.6278231739997864,11.325013671875,2.58052721619606,0.7618,0.3290666666666667,0.74
0.9275094605982304,0.7473609410226345,11.2094033203125,2.575461007654667,0.0494,0.3345666666666667,0.787
0.8315487764775753,0.6269900593906641,11.2643076171875,2.514434792101383,0.19019999999999998,0.22003333333333333,0.558
0.7362885400652885,28.825706243515015,2.59147314453125,2.5142816826701164,0.9401999999999999,0.13333333333333333,0.231
0.8830348029732704,0.31563760712742805,11.067607421875,2.7429241687059402,0.0346,0.3626333333333333,0.246
0.6776825990527868,28.876763582229614,1.24243017578125,2.6848338544368744,0.8102,0.2688666666666667,0.099
0.8906867355108261,0.6625763606280088,11.2845029296875,2.8020884841680527,0.8606,0.5519999999999999,0.843
0.7329163141548634,0.4843123257160187,11.4372333984375,3.4951500594615936,0.314,0.9073,0.391
0.7952652871608734,0.5770270247012377,12.2714794921875,2.6104988530278206,0.9624,0.3072,0.529
1.0180051438510418,0.7114131934940815,11.2439267578125,3.2764460891485214,0.8608,0.9112666666666667,0.955
0.7988418452441692,0.6594253238290548,11.2622353515625,3.26409712433815,0.5147999999999999,0.8451666666666667,0.719
0.717015378177166,28.740710020065308,2.489333984375,2.6209432631731033,0.7544,0.2336,0.196
0.9746521711349487,0.712949875742197,11.24039453125,3.1163133680820465,0.7758,0.8016333333333333,0.927
0.8527113124728203,0.4539421759545803,11.339138671875,2.5147853419184685,0.13899999999999998,0.1739,0.358
0.7744124159216881,1.0007637552917004,12.5635556640625,2.4506988003849983,0.7428,0.10579999999999999,0.385
0.8194779045879841,25.883391499519348,1.0005245361328126,3.05354967713356,0.26280000000000003,0.5557333333333333,0.07
0.7915876805782318,0.6756918970495462,11.2354599609375,3.48263643682003,0.2746,0.9688666666666667,0.682
0.7352300453931093,3.0797628685832024,10.8969716796875,2.654101140797138,0.6378,0.28323333333333334,0.266
1.1477546766400337,0.7409035228192806,11.2214326171875,3.1594034284353256,0.6682,0.8449333333333333,0.988
0.6066145841032267,1.3510930351912975,12.8803798828125,3.4785497933626175,0.9416,0.9055,0.413
0.8044861257076263,0.5908740218728781,11.308759765625,2.6741541922092438,0.3592,0.37393333333333334,0.562
0.7736536674201488,0.5242044106125832,11.6742900390625,2.5750959292054176,0.6424000000000001,0.26430000000000003,0.496
1.3202289119362831,0.7680474780499935,11.2053671875,2.5186823680996895,0.1988,0.3199666666666667,0.972
0.8453276939690113,0.6764184683561325,11.2324287109375,2.5127099826931953,0.09419999999999999,0.23206666666666667,0.614
0.859305914491415,27.99381911754608,1.10778466796875,2.5012439116835594,0.3486,0.08896666666666667,0.088
0.905213039368391,1.563807763159275,9.3454453125,2.478349208831787,0.1588,0.08926666666666666,0.169
0.8897577412426472,0.7277671713382006,11.2210263671875,3.070366755127907,0.3634,0.744,0.821
0.7849338464438915,1.472689863294363,12.7278388671875,2.4026457220315933,0.756,0.04376666666666666,0.357
