I,u_per,soc,s,sdot,C
1.493464708328247,0.6533333333333334,0.9999998,0.0,0.06932224,0.06000000230986038
2.986929416656494,0.6533333333333334,0.9998341,1.9262858e-05,0.16670428,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9996674,6.558567e-05,0.16677544,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99950075,0.000111928246,0.16684665,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9993341,0.00015829061,0.16691794,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99916744,0.0002046728,0.16698912,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9990008,0.00025107476,0.16706024,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9988341,0.00029749647,0.16713145,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9986674,0.000343938,0.16720264,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99850076,0.0003903993,0.16727383,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9983341,0.00043688036,0.16734497,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99816746,0.0004833812,0.16741613,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99800074,0.0005299018,0.16748725,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9978341,0.0005764422,0.16755845,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99766743,0.00062300236,0.16762955,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9975008,0.0006695823,0.16770065,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9973341,0.00071618194,0.16777171,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9971674,0.0007628013,0.16784294,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99700075,0.00080944056,0.16791405,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9968341,0.00085609953,0.1679851,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99666744,0.0009027782,0.16805616,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9965008,0.0009494767,0.16812722,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9963341,0.0009961949,0.16819827,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9961674,0.0010429329,0.16826935,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99600077,0.0010896906,0.16834043,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9958341,0.001136468,0.1684114,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99566746,0.0011832651,0.16848241,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99550074,0.001230082,0.16855352,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9953341,0.0012769187,0.16862449,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99516743,0.001323775,0.16869546,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9950008,0.0013706511,0.16876644,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99483407,0.001417547,0.16883755,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9946674,0.0014644626,0.16890854,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99450076,0.001511398,0.16897948,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9943341,0.0015583531,0.16905057,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99416745,0.0016053279,0.16912137,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99400073,0.0016523224,0.16919242,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9938341,0.0016993365,0.1692633,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9936674,0.0017463703,0.16933426,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99350077,0.0017934239,0.16940512,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9933341,0.0018404973,0.16947602,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9931674,0.0018875904,0.169547,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99300075,0.0019347032,0.16961789,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9928341,0.0019818356,0.16968876,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99266744,0.0020289877,0.16975963,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9925008,0.0020761595,0.16983047,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99233407,0.002123351,0.16990142,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9921674,0.0021705623,0.1699722,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99200076,0.0022177931,0.17004307,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9918341,0.0022650436,0.17011385,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99166745,0.0023123138,0.17018469,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99150074,0.0023596038,0.17025553,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9913341,0.0024069133,0.17032632,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9911674,0.0024542427,0.17039715,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9910008,0.0025015916,0.17046796,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9908341,0.0025489603,0.1705387,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9906674,0.0025963485,0.17060953,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99050075,0.0026437566,0.17068028,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9903341,0.0026911842,0.17075102,0.12000000461972075
2.986929416656494,0.6533333333333334,0.99016744,0.0027386316,0.17082171,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9900008,0.0027860985,0.17089245,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9898341,0.002833585,0.17096321,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9896674,0.002881091,0.17103396,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98950076,0.002928617,0.17110457,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9893341,0.0029761626,0.17117529,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98916745,0.0030237276,0.17124598,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98900074,0.0030713123,0.17131665,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9888341,0.0031189169,0.17138728,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9886674,0.0031665412,0.17145796,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9885008,0.003214185,0.17152858,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9883341,0.0032618481,0.17159924,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9881674,0.0033095314,0.17166986,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98800075,0.0033572337,0.17174043,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9878341,0.003404956,0.17181109,0.12000000461972075
