% Model:              JH_2804_pulse_hyperelastic_NeoHook - Copy.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 15:45
% Dimension:          0
% Nodes:              6678
% Expressions:        7
% Description:        Point Probe 1, Positive current, Point Probe 3, Displacement, Open-circuit cell voltage, Battery cell state of charge, 
% u_par                   C_par                    t                        E_cell (V)               -I_1C * A_cell (A)       Rx_cell (N)              u_par*u_pre (m)          E_ocv_cell (V)           soc_cell (1)             -I_1C * A_cell * wv1(t)
0                         1                        0                        4.321892166778149        4.978215502204348        -8.68210456744027        0                        4.324999904918194        0.9999999687749892       0
0                         1                        1                        4.270610499967994        4.978215502204348        2354.4976182658656       0                        4.324162949012491        0.999725111172274        4.978215502204348
0                         1                        2                        4.262468753716434        4.978215502204348        4742.8437696241635       0                        4.323317101019611        0.9994473333944962       4.978215502204348
0                         1                        3                        4.256206153086528        4.978215502204348        7131.249506174106        0                        4.322471253026731        0.9991695556167185       4.978215502204348
0                         1                        4                        4.25098049300459         4.978215502204348        9519.714822514647        0                        4.321625405033853        0.9988917778389406       4.978215502204348
0                         1                        5                        4.246343970690762        4.978215502204348        11908.239750971243       0                        4.320779557040972        0.998614000061163        4.978215502204348
0                         1                        6                        4.242102354745413        4.978215502204348        14296.824284242293       0                        4.319933709048093        0.9983362222833853       4.978215502204348
0                         1                        7                        4.238214800653833        4.978215502204348        16685.468413240458       0                        4.3190878610552135       0.9980584445056073       4.978215502204348
0                         1                        8                        4.234640744134748        4.978215502204348        19074.17219748285        0                        4.318242013062334        0.9977806667278295       4.978215502204348
0                         1                        9                        4.231288001052948        4.978215502204348        21462.935518639028       0                        4.317396165069454        0.9975028889500518       4.978215502204348
0                         1                        10                       4.228188114852007        4.978215502204348        23851.758612075704       0                        4.316550317076575        0.997225111172274        4.978215502204348
0                         1                        11                       4.225353681905497        4.978215502204348        26240.641286573824       0                        4.3157044690836965       0.9969473333944963       4.978215502204348
0                         1                        12                       4.222950393832111        4.978215502204348        28629.58428898632        0                        4.314858621090815        0.9966695556167184       4.978215502204348
0                         1                        13                       4.220973249933875        4.978215502204348        31018.586518011456       0                        4.314012773097937        0.9963917778389405       4.978215502204348
0                         1                        14                       4.219398993272901        4.978215502204348        33407.64882269351        0                        4.313166925105057        0.996114000061163        4.978215502204348
0                         1                        15                       4.218055303236705        4.978215502204348        35796.770443561945       0                        4.312321077112178        0.995836222283385        4.978215502204348
0                         1                        16                       4.216858581272223        4.978215502204348        38185.952037476854       0                        4.3114752291192975       0.9955584445056075       4.978215502204348
0                         1                        17                       4.21565822300629         4.978215502204348        40575.192907713856       0                        4.310629381126418        0.9952806667278296       4.978215502204348
0                         1                        18                       4.2145033780708          4.978215502204348        42964.49381494758        0                        4.3097835331335395       0.9950028889500517       4.978215502204348
0                         1                        19                       4.2133933550134595       4.978215502204348        45353.85519061133        0                        4.30893768514066         0.994725111172274        4.978215502204348
0                         1                        20                       4.212312428548077        4.978215502204348        47743.275009744066       0                        4.30809183714778         0.9944473333944962       4.978215502204348
0                         1                        21                       4.2112689487227675       4.978215502204348        50132.75490791397        0                        4.307245989154901        0.9941695556167185       4.978215502204348
0                         1                        22                       4.210262915537531        4.978215502204348        52522.295273290205       0                        4.306400141162022        0.9938917778389407       4.978215502204348
0                         1                        23                       4.209276349422216        4.978215502204348        54911.894269496544       0                        4.305554293169141        0.9936140000611627       4.978215502204348
0                         1                        24                       4.20831640079201         4.978215502204348        57301.55309553661        0                        4.304708445176263        0.9933362222833853       4.978215502204348
0                         1                        25                       4.2073842531589705       4.978215502204348        59691.272239283106       0                        4.303862597183383        0.9930584445056072       4.978215502204348
0                         1                        26                       4.206463922111649        4.978215502204348        62081.050009014296       0                        4.303016749190503        0.9927806667278297       4.978215502204348
0                         1                        27                       4.205557757651734        4.978215502204348        64470.886950388616       0                        4.3021709011976235       0.9925028889500518       4.978215502204348
0                         1                        28                       4.204669010995753        4.978215502204348        66860.78374932017        0                        4.301325053204744        0.992225111172274        4.978215502204348
0                         1                        29                       4.203797682143702        4.978215502204348        69250.74068428706        0                        4.3004792052118646       0.991947333394496        4.978215502204348
0                         1                        30                       4.202943771095585        4.978215502204348        71640.75803447227        0                        4.299634837798981        0.9916695556167184       4.978215502204348
0                         1                        31                       4.2021072778514          4.978215502204348        74030.83608007053        0                        4.298791465155627        0.9913917778389407       4.978215502204348
0                         1                        32                       4.201281240807815        4.978215502204348        76420.9726781365         0                        4.2979480925122715       0.9911140000611629       4.978215502204348
0                         1                        33                       4.200463114434034        4.978215502204348        78811.1671350713         0                        4.297104719868917        0.9908362222833852       4.978215502204348
0                         1                        34                       4.199658438803907        4.978215502204348        81201.42159482464        0                        4.296261347225563        0.9905584445056073       4.978215502204348
0                         1                        35                       4.198867213917438        4.978215502204348        83591.73629408595        0                        4.295417974582208        0.9902806667278297       4.978215502204348
0                         1                        36                       4.198089439774624        4.978215502204348        85982.11146907599        0                        4.294574601938855        0.9900028889500517       4.978215502204348
0                         1                        37                       4.197325116375468        4.978215502204348        88372.54735805756        0                        4.293731229295501        0.989725111172274        4.978215502204348
0                         1                        38                       4.196570616260952        4.978215502204348        90763.04307843026        0                        4.292887856652145        0.9894473333944962       4.978215502204348
0                         1                        39                       4.195815831961567        4.978215502204348        93153.5956672112         0                        4.292044484008792        0.9891695556167185       4.978215502204348
0                         1                        40                       4.195070027136312        4.978215502204348        95544.20813398901        0                        4.291201111365438        0.9888917778389407       4.978215502204348
0                         1                        41                       4.194333201785186        4.978215502204348        97934.88066469156        0                        4.290357738722083        0.988614000061163        4.978215502204348
0                         1                        42                       4.193605355908189        4.978215502204348        100325.61344558542       0                        4.28951436607873         0.9883362222833851       4.978215502204348
0                         1                        43                       4.192886489505321        4.978215502204348        102716.40666331026       0                        4.288670993435375        0.9880584445056074       4.978215502204348
0                         1                        44                       4.192176602576583        4.978215502204348        105107.26050494089       0                        4.2878276207920205       0.9877806667278297       4.978215502204348
0                         1                        45                       4.191466117093299        4.978215502204348        107498.17126975235       0                        4.286984248148666        0.9875028889500519       4.978215502204348
0                         1                        46                       4.190761753933512        4.978215502204348        109889.14176524409       0                        4.286140875505312        0.987225111172274        4.978215502204348
0                         1                        47                       4.190063675635062        4.978215502204348        112280.17220388273       0                        4.285297502861957        0.9869473333944963       4.978215502204348
0                         1                        48                       4.189371882197949        4.978215502204348        114671.26273357646       0                        4.284454130218602        0.9866695556167184       4.978215502204348
