% Model:              2_2603_JH_lib_coupled_model.mph
% Version:            COMSOL 6.3.0.420
% Date:               Mar 26 2026, 17:17
% Dimension:          0
% Nodes:              2711
% Expressions:        4
% Description:        Point Probe 1, Point Probe 3, Point Probe 2, Point Probe 4
% u_par                   t                        point1 (V)               point3 (N)               point2 (A)               point4 (m)
0                         0                        4.1186969284847015       2005.0355240622926       1.4768238373834388       0
0                         36                       4.108215780917457        1695675.8378118325       1.4768238373834388       0
0                         72                       4.103006918481052        3387310.3371871435       1.4768238373834388       0
0                         108                      4.098215049327745        5076783.807431787        1.4768238373834388       0
0                         144                      4.09350904844165         6764084.97815811         1.4768238373834388       0
0                         180                      4.088840841243511        8449215.692071732        1.4768238373834388       0
0                         216                      4.084195687342095        1.0132181055743985E7     1.4768238373834388       0
0                         252.00000000000003       4.07959923312025         1.1810909980850928E7     1.4768238373834388       0
0                         288                      4.075018768851027        1.3488242350369904E7     1.4768238373834388       0
0                         324                      4.070478960129767        1.516219155268322E7      1.4768238373834388       0
0                         360                      4.065962075543596        1.6834878527576517E7     1.4768238373834388       0
0                         396                      4.061587985937165        1.85008489756554E7       1.4768238373834388       0
0                         432                      4.057213896330734        2.016681942373427E7      1.4768238373834388       0
0                         468                      4.052839806724303        2.1832789871813178E7     1.4768238373834388       0
0                         504.00000000000006       4.048946139694125        2.349461474749296E7      1.4768238373834388       0
0                         540                      4.045436897209661        2.515312241897572E7      1.4768238373834388       0
0                         576                      4.041927654725198        2.6811630090458483E7     1.4768238373834388       0
0                         612                      4.038418412240734        2.84701377619413E7       1.4768238373834388       0
0                         648                      4.0343165345383545       3.012200153220067E7      1.4768238373834388       0
0                         684                      4.030214623909966        3.1773864933333963E7     1.4768238373834388       0
0                         720                      4.026112713281578        3.342572833446724E7      1.4768238373834388       0
0                         756                      4.02259501236661         3.507228215720765E7      1.4768238373834388       0
0                         792                      4.019223414596168        3.6717508124416925E7     1.4768238373834388       0
0                         828                      4.015851816825726        3.836273409162628E7      1.4768238373834388       0
0                         864                      4.012786646535209        4.0004445087261975E7     1.4768238373834388       0
0                         900                      4.00992580852388         4.16438122260312E7       1.4768238373834388       0
0                         936                      4.00706497051255         4.328317936480042E7      1.4768238373834388       0
0                         972.0000000000001        4.0039863213057405       4.491833610237171E7      1.4768238373834388       0
0                         1008.0000000000001       4.000822944401081        4.655185501044701E7      1.4768238373834388       0
0                         1044                     3.997659567496423        4.818537391852233E7      1.4768238373834388       0
0                         1080                     3.9943947000273874       4.9814027987239465E7     1.4768238373834388       0
0                         1116                     3.9911104930308716       5.144175503682898E7      1.4768238373834388       0
0                         1152                     3.9878262860343563       5.3069482086418465E7     1.4768238373834388       0
0                         1188                     3.9845504392300835       5.468622850305565E7      1.4768238373834388       0
0                         1224                     3.9812749412711494       5.630251673135108E7      1.4768238373834388       0
0                         1260.0000000000002       3.9779994433122154       5.7918804959646404E7     1.4768238373834388       0
0                         1296                     3.974723945353281        5.953509318794174E7      1.4768238373834388       0
