% Model,JH_0516_pulse_hyperelastic_NeoHook - Copy.mph
% Version,COMSOL 6.3.0.420
% Date,"May 18 2026, 17:51"
% Dimension,1
% Nodes,60
% Expressions,12
% Description,"Insertion particle concentration, particle average, Volumetric strain, Battery cell state of charge"
% X,liion.cs_average (mol/m^3) @ t=0,solid.evol (1) @ t=0,soc_cell (1) @ t=0,liion.cs_average (mol/m^3) @ t=1199,solid.evol (1) @ t=1199,soc_cell (1) @ t=1199,liion.cs_average (mol/m^3) @ t=2399,solid.evol (1) @ t=2399,soc_cell (1) @ t=2399,liion.cs_average (mol/m^3) @ t=3399,solid.evol (1) @ t=3399,soc_cell (1) @ t=3399
0,27629.887531365188,-1.7883392860063085E-8,0.9999994444444447,22060.00448136817,-0.009340645504291164,0.6669444444444443,11991.000768520265,-0.01983873698792859,0.3336111111111107,2432.001438450031,-0.02885800584925355,0.05583333333333323
5.213996286111302E-6,27629.88791332982,-1.7783635458288005E-8,0.9999994444444447,22219.729613364634,-0.009299399002768218,0.6669444444444443,12039.457515239626,-0.019826389000812066,0.3336111111111107,2433.3717042241906,-0.028857660765311006,0.05583333333333323
1.04279925722226E-5,27629.888122511773,-1.772900321222522E-8,0.9999994444444447,22196.28431432073,-0.00930545353017533,0.6669444444444443,12011.007698375324,-0.019833638756047753,0.3336111111111107,2430.5806347026605,-0.02885836366042821,0.05583333333333323
1.5641988858333902E-5,27629.888162588213,-1.7718536747845544E-8,0.9999994444444447,21989.885301425922,-0.009358752074323467,0.6669444444444443,11900.854119792095,-0.01986170808559183,0.3336111111111107,2423.7185890964406,-0.02886009177580734,0.05583333333333323
2.0855985144445207E-5,27629.888034094147,-1.7752095101033117E-8,0.9999994444444447,21584.699078131962,-0.00946337262568402,0.6669444444444443,11705.339124461223,-0.019911526576947884,0.3336111111111107,2413.078370790499,-0.02886277136575679,0.05583333333333323
2.60699814305565E-5,27629.88773502892,-1.7830202119050103E-8,0.9999994444444447,20952.708583323685,-0.009626525918309013,0.6669444444444443,11403.807331734231,-0.019988352238086593,0.3336111111111107,2398.926330802005,-0.028866335343317118,0.05583333333333323
3.1283977716667805E-5,27629.887260659634,-1.7954093207935487E-8,0.9999994444444447,20061.240399137096,-0.00985660533311795,0.6669444444444443,10970.110383030576,-0.020098837500796597,0.3336111111111107,2381.6110217904966,-0.028870695918361583,0.05583333333333323
3.64979740027791E-5,27629.88660347685,-1.81257296516631E-8,0.9999994444444447,18908.18625083748,-0.010154092761097046,0.6669444444444443,10373.934996725668,-0.020250687311909273,0.3336111111111107,2361.3232964933736,-0.028875805013760535,0.05583333333333323
4.164556352287779E-5,27629.885763863575,-1.8345011092779903E-8,0.9999994444444447,17815.539675339307,-0.010435885426582827,0.6669444444444443,9688.005879275635,-0.020425358890326546,0.3336111111111107,2338.4500512434256,-0.028881565181786258,0.05583333333333323
4.645180160994883E-5,27629.884796707654,-1.8597603301693377E-8,0.9999994444444447,17088.61987397464,-0.010623298367046487,0.6669444444444443,9073.767943323312,-0.02058173883366616,0.3336111111111107,2315.0178729263853,-0.02888746605791538,0.05583333333333323
5.080957905118224E-5,27629.883756635856,-1.8869238586659762E-8,0.9999994444444447,16625.38851593684,-0.010742703489819695,0.6669444444444443,8588.012015255928,-0.020705384657685948,0.3336111111111107,2292.077188445021,-0.028893243115167513,0.05583333333333323
5.476070677117381E-5,27629.882669722538,-1.9153107249822088E-8,0.9999994444444447,16311.32936468962,-0.010823646463650895,0.6669444444444443,8208.368333917115,-0.020802005855791297,0.3336111111111107,2270.762474860891,-0.028898610669323477,0.05583333333333323
5.834333919304622E-5,27629.881557039487,-1.9443706691869664E-8,0.9999994444444447,16085.91433973282,-0.010881737707727799,0.6669444444444443,7911.447001613602,-0.020877564957522573,0.3336111111111107,2250.8403003007234,-0.02890362751270336,0.05583333333333323
6.159089895714416E-5,27629.88043654481,-1.97363460902644E-8,0.9999994444444447,15912.730439581057,-0.010926365544655089,0.6669444444444443,7673.649179032453,-0.02093807299466561,0.3336111111111107,2231.5520235200565,-0.028908484693235363,0.05583333333333323
6.453466406383348E-5,27629.87932275533,-2.002723437760617E-8,0.9999994444444447,15773.112992632156,-0.010962341704938067,0.6669444444444443,7483.044234642695,-0.02098656913099905,0.3336111111111107,2214.303435119873,-0.028912828210920644,0.05583333333333323
6.72046528163123E-5,27629.878226753637,-2.0313476696798403E-8,0.9999994444444447,15656.291286291196,-0.010992442611043712,0.6669444444444443,7325.391077972608,-0.02102667883468392,0.3336111111111107,2199.5046931630404,-0.02891655479054344,0.05583333333333323
6.962515888161432E-5,27629.877158446758,-2.059248641070444E-8,0.9999994444444447,15553.374971939027,-0.011018959582983674,0.6669444444444443,7194.806839484353,-0.02105990007605029,0.3336111111111107,2184.0249615342195,-0.028920452834555153,0.05583333333333323
7.181894311174249E-5,27629.87612545619,-2.0862272130184874E-8,0.9999994444444447,15460.194078576442,-0.011042967364953181,0.6669444444444443,7085.419945078604,-0.02108772745664375,0.3336111111111107,2171.3458419780095,-0.02892364562401644,0.05583333333333323
7.380908790160705E-5,27629.87513239224,-2.1121630810798926E-8,0.9999994444444447,15375.926445634803,-0.011064678009819525,0.6669444444444443,6992.101396691177,-0.02111146631068396,0.3336111111111107,2159.4037354872917,-0.028926652809750954,0.05583333333333323
7.561235671667865E-5,27629.87418435091,-2.1369230445008298E-8,0.9999994444444447,15299.361039373558,-0.011084403707439478,0.6669444444444443,6911.4342435826875,-0.021131986218527268,0.3336111111111107,2148.4447518573215,-0.028929412420640357,0.05583333333333323
7.724729886928335E-5,27629.873283664645,-2.160446288514745E-8,0.9999994444444447,15225.72082324377,-0.011103375301548746,0.6669444444444443,6841.523759130468,-0.021149769407653375,0.3336111111111107,2138.293660117929,-0.02893196858466475,0.05583333333333323
7.873250388802487E-5,27629.872427433344,-2.182808432127303E-8,0.9999994444444447,15156.165607425868,-0.011121294056531455,0.6669444444444443,6780.764640023706,-0.02116522440686903,0.3336111111111107,2128.9631370150883,-0.02893431811187985,0.05583333333333323
7.873250388802487E-5,NaN,2.2980045038213315E-8,0.9999994444444447,NaN,-0.015605168766012143,0.6669444444444443,NaN,-0.030900356288461592,0.3336111111111107,NaN,-0.04339678620420539,0.05583333333333323
8.018259841284442E-5,NaN,2.298004503410404E-8,0.9999994444444447,NaN,-0.015605168766011323,0.6669444444444443,NaN,-0.0309003562884617,0.3336111111111107,NaN,-0.04339678620420539,0.05583333333333323
8.018259841284442E-5,NaN,2.298004503410404E-8,0.9999994444444447,NaN,-0.015605168766011323,0.6669444444444443,NaN,-0.0309003562884617,0.3336111111111107,NaN,-0.04339678620420539,0.05583333333333323
8.177811160134858E-5,NaN,2.2980045029691157E-8,0.9999994444444447,NaN,-0.015605168766012034,0.6669444444444443,NaN,-0.03090035628846299,0.3336111111111107,NaN,-0.04339678620420539,0.05583333333333323
8.177811160134858E-5,NaN,2.2980045029691157E-8,0.9999994444444447,NaN,-0.015605168766012034,0.6669444444444443,NaN,-0.03090035628846299,0.3336111111111107,NaN,-0.04339678620420539,0.05583333333333323
8.353465071578054E-5,NaN,2.2980045024965614E-8,0.9999994444444447,NaN,-0.01560516876601116,0.6669444444444443,NaN,-0.03090035628846175,0.3336111111111107,NaN,-0.04339678620420602,0.05583333333333323
8.353465071578054E-5,NaN,2.2980045024965614E-8,0.9999994444444447,NaN,-0.01560516876601116,0.6669444444444443,NaN,-0.03090035628846175,0.3336111111111107,NaN,-0.04339678620420602,0.05583333333333323
8.546781831334183E-5,NaN,2.2980045019921215E-8,0.9999994444444447,NaN,-0.015605168766011706,0.6669444444444443,NaN,-0.030900356288462077,0.3336111111111107,NaN,-0.04339678620420602,0.05583333333333323
8.546781831334183E-5,NaN,2.2980045019921215E-8,0.9999994444444447,NaN,-0.015605168766011706,0.6669444444444443,NaN,-0.030900356288462077,0.3336111111111107,NaN,-0.04339678620420602,0.05583333333333323
8.75956322596863E-5,NaN,2.2980045014562567E-8,0.9999994444444447,NaN,-0.015605168766011925,0.6669444444444443,NaN,-0.0309003562884617,0.3336111111111107,NaN,-0.04339678620420581,0.05583333333333323
8.75956322596863E-5,NaN,2.2980045014562567E-8,0.9999994444444447,NaN,-0.015605168766011925,0.6669444444444443,NaN,-0.0309003562884617,0.3336111111111107,NaN,-0.04339678620420581,0.05583333333333323
8.986937551636344E-5,NaN,2.298004500906294E-8,0.9999994444444447,NaN,-0.01560516876601105,0.6669444444444443,NaN,-0.03090035628846213,0.3336111111111107,NaN,-0.04339678620420517,0.05583333333333323
8.986937551636344E-5,NaN,2.298004500906294E-8,0.9999994444444447,NaN,-0.01560516876601105,0.6669444444444443,NaN,-0.03090035628846213,0.3336111111111107,NaN,-0.04339678620420517,0.05583333333333323
9.199718946270791E-5,NaN,2.2980045004127015E-8,0.9999994444444447,NaN,-0.015605168766012034,0.6669444444444443,NaN,-0.03090035628846299,0.3336111111111107,NaN,-0.04339678620420645,0.05583333333333323
9.199718946270791E-5,NaN,2.2980045004127015E-8,0.9999994444444447,NaN,-0.015605168766012034,0.6669444444444443,NaN,-0.03090035628846299,0.3336111111111107,NaN,-0.04339678620420645,0.05583333333333323
9.393035706026919E-5,NaN,2.2980044999818105E-8,0.9999994444444447,NaN,-0.01560516876601127,0.6669444444444443,NaN,-0.030900356288462667,0.3336111111111107,NaN,-0.04339678620420645,0.05583333333333323
9.393035706026919E-5,NaN,2.2980044999818105E-8,0.9999994444444447,NaN,-0.01560516876601127,0.6669444444444443,NaN,-0.030900356288462667,0.3336111111111107,NaN,-0.04339678620420645,0.05583333333333323
9.568689617470116E-5,NaN,2.29800449960469E-8,0.9999994444444447,NaN,-0.015605168766011706,0.6669444444444443,NaN,-0.03090035628846084,0.3336111111111107,NaN,-0.04339678620420507,0.05583333333333323
9.568689617470116E-5,NaN,2.29800449960469E-8,0.9999994444444447,NaN,-0.015605168766011706,0.6669444444444443,NaN,-0.03090035628846084,0.3336111111111107,NaN,-0.04339678620420507,0.05583333333333323
9.72824093632053E-5,NaN,2.2980044992741142E-8,0.9999994444444447,NaN,-0.01560516876601127,0.6669444444444443,NaN,-0.03090035628846299,0.3336111111111107,NaN,-0.043396786204204965,0.05583333333333323
9.72824093632053E-5,NaN,2.2980044992741142E-8,0.9999994444444447,NaN,-0.01560516876601127,0.6669444444444443,NaN,-0.03090035628846299,0.3336111111111107,NaN,-0.043396786204204965,0.05583333333333323
9.873250388802487E-5,NaN,2.2980044989835025E-8,0.9999994444444447,NaN,-0.015605168766012471,0.6669444444444443,NaN,-0.030900356288462022,0.3336111111111107,NaN,-0.04339678620420666,0.05583333333333323
9.873250388802487E-5,658.4488054642135,2.996056018670789E-8,0.9999994444444447,16710.251075517594,0.026194142925868358,0.6669444444444443,32617.047114552086,0.052868821751132236,0.3336111111111107,45086.76597991666,0.0738932511017337,0.05583333333333323
1.0016830192982119E-4,658.4484320700489,2.917732005162859E-8,0.9999994444444447,16665.6168182829,0.02609727347167177,0.6669444444444443,32547.478628019682,0.052712776982149157,0.3336111111111107,45072.035668735516,0.07385937386052954,0.05583333333333323
1.0174405652505161E-4,658.4480431503631,2.83615136844956E-8,0.9999994444444447,16618.584964915055,0.025995213020357885,0.6669444444444443,32473.936878099405,0.052547851012823166,0.3336111111111107,45056.2512354932,0.07382307374977483,0.05583333333333323
1.0347576711004407E-4,658.4476381360827,2.751194660443778E-8,0.9999994444444447,16568.630636080667,0.025886824829025115,0.6669444444444443,32396.515652572183,0.052374259305345214,0.3336111111111107,45039.547040328485,0.07378466004265516,0.05583333333333323
1.0538266864015404E-4,658.4472188294241,2.6632399335245643E-8,0.9999994444444447,16519.295933816924,0.02577979509029771,0.6669444444444443,32315.382843628766,0.05219238349657703,0.3336111111111107,45022.00270429896,0.0737443161017476,0.05583333333333323
1.0747850107798736E-4,658.4467894404938,2.5731703634395417E-8,0.9999994444444447,16469.07204644048,0.02567085073394287,0.6669444444444443,32231.17253678978,0.05200364987671728,0.3336111111111107,45003.73998518123,0.07370232215826777,0.05583333333333323
1.0978264122676689E-4,658.4463545089678,2.481938154941104E-8,0.9999994444444447,16417.416777352024,0.02555881675758688,0.6669444444444443,32144.535927720688,0.051809522004191796,0.3336111111111107,44984.905942111036,0.07365901657543214,0.05583333333333323
1.1231599508730532E-4,658.4459201328372,2.3908224868100725E-8,0.9999994444444447,16364.968346424965,0.025445078365785814,0.6669444444444443,32056.540234039123,0.051612394099660834,0.3336111111111107,44965.70861036288,0.07361487785104717,0.05583333333333323
1.151012184963887E-4,658.4454942741434,2.3014933717405255E-8,0.9999994444444447,16312.481868948722,0.02533127346752912,0.6669444444444443,31968.632903059428,0.05141550971738443,0.3336111111111107,44946.44462364552,0.0735705880819755,0.05583333333333323
1.1816470944401775E-4,658.4450869424059,2.2160505799409188E-8,0.9999994444444447,16260.96399068537,0.02521958432214208,0.6669444444444443,31882.328228122875,0.051222259089794366,0.3336111111111107,44927.25132057903,0.07352646302198795,0.05583333333333323
1.215330947174287E-4,658.4447112682049,2.1372482958338624E-8,0.9999994444444447,16211.81060651704,0.025113035706860486,0.6669444444444443,31799.989615408733,0.0510379300791234,0.3336111111111107,44908.31298874943,0.07348292629324363,0.05583333333333323
1.2523620608316196E-4,658.4443836847906,2.0685336878616606E-8,0.9999994444444447,16166.80304505813,0.025015486213313093,0.6669444444444443,31724.591104135718,0.050869172743078186,0.3336111111111107,44891.84322668031,0.07344506622132041,0.05583333333333323
1.293081290941131E-4,658.4441249347998,2.014257734367754E-8,0.9999994444444447,16128.218970542626,0.02493186838296674,0.6669444444444443,31659.939519938922,0.05072449595263487,0.3336111111111107,44876.513455341425,0.073409828171277,0.05583333333333323
1.3378593471285945E-4,658.4439610806558,1.9798873401352735E-8,0.9999994444444447,16098.91469833985,0.024868367155186474,0.6669444444444443,31610.8364939061,0.05061463009839487,0.3336111111111107,44864.958710172425,0.07338326858272498,0.05583333333333323
1.3868390804367813E-4,658.4439265417162,1.972642377146927E-8,0.9999994444444447,16082.726341037871,0.02483328975871534,0.6669444444444443,31583.70743625876,0.05055393614588806,0.3336111111111107,44858.47098912371,0.07336835634086264,0.05583333333333323
1.4373250388802488E-4,658.444049341382,1.998401121070071E-8,0.9999994444444447,16083.41897519552,0.02483479056839034,0.6669444444444443,31584.859039219995,0.050556512505792815,0.3336111111111107,44858.61288639807,0.07336868249630332,0.05583333333333323
