name, n_params, N_ep, train_time, N_trajs, mean_mse_V, mean_mse_F, mean_mae_V, mean_mae_F
JH_model_7,67586,385,300.629365126013,150,0.004202779241966,0.0004169735608417,0.0382112924266478,0.0170544363911552
JH_model_7,67586,385,300.629365126013,150,0.004202779241966,0.0004169735608417,0.0382112924266478,0.0170544363911552
JH_model_8,67330,51,91.13968412499526,248,0.0016682790776439,0.000367290044574,0.0258566453786832,0.0170986068587065
JH_model,67330,51,91.13968412499526,248,0.0016682790776439,0.000367290044574,0.0258566453786832,0.0170986068587065
JH_model_8_N248,67330,51,91.13968412499526,248,0.0016682790776439,0.000367290044574,0.0258566453786832,0.0170986068587065
JH_model_10_N248,67330,56,90.70491058201878,248,0.0003850715281946,6.2904386094469e-05,0.0107867282207066,0.0071863137038272
JH_model_10_N248,67330,56,90.70491058201878,248,0.0003850715281946,6.2904386094469e-05,0.0107867282207066,0.0071863137038272
JH_model_10_N248,67330,56,90.70491058201878,248,0.0003850715281946,6.2904386094469e-05,0.0107867282207066,0.0071863137038272
JH_model_10_N248,67330,150,211.02941095996357,248,0.0004578118350021826,4.266564799912217e-05,0.013170309602377974,0.0055152164363511365
