Complexity,Loss,Equation
1,0.06648722,"0.7971323"
3,0.04556019,"0.5889798 ^ soc"
5,0.03037243,"(0.0039873663 ^ soc) + 0.5856868"
8,0.02957418,"exp(0.09017657 - (soc ^ C)) + 0.24818315"
10,0.028310055,"exp((0.09172542 - (soc ^ C)) + 0.13709617) + 0.14109792"
16,0.027593266,"square(square(sqrt(((((soc * 0.51057506) ^ 0.5457948) - -0.00012395158) ^ soc) ^ 1.2363913) - -0.11261457))"
25,0.026709009,"square(log(exp(0.09172542 - (((C * soc) - C) + (0.09172542 - ((soc * ((C * soc) - C)) + 0.13709617)))))) + 0.66262424"
27,0.01976178,"square(log(exp(0.12995288 - ((((C + 0.5906607) * soc) - C) - ((((soc * (C * soc)) - C) * soc) + 0.17531078))))) + 0.66530454"
