Complexity,Loss,Equation
2,8.7953464e-7,"f = 0.07996487; g = 134.70267"
6,8.689976e-7,"f = -0.08069016; g = (297.32758 - #1) * -0.49013615"
7,8.2738666e-7,"f = 0.016634183; g = cube(square(square(#3) + 2.9890397))"
9,8.200953e-7,"f = 0.016634183; g = cube(square(square(#3) + 2.9890397)) - #1"
11,8.095391e-7,"f = 0.05348478; g = cube(2.9890397 - square(cube(#3) + 2.9890397)) + #2"
13,8.0859814e-7,"f = 0.05348478; g = (cube(square(cube(#3) + 2.9890397) - 2.9890397) + #2) - #1"
