trajectory,C,u_per,I,u,soc,R1,C1,R0,k,s
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9999997,0.010008617,10130.284,0.008969107,0.031004786,20.16569
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99984443,0.01000742,10128.888,0.008969107,0.031004786,20.170828
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99968886,0.0100062145,10127.485,0.008969107,0.031004786,20.175974
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99953336,0.010005014,10126.085,0.008969107,0.031004786,20.181122
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9993778,0.010003809,10124.685,0.008969107,0.031004786,20.186272
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9992222,0.010002604,10123.282,0.008969107,0.031004786,20.191427
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99906665,0.010001398,10121.882,0.008969107,0.031004786,20.196579
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9989111,0.01000019,10120.48,0.008969107,0.031004786,20.201735
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9987556,0.009998981,10119.08,0.008969107,0.031004786,20.206884
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9986,0.009997767,10117.677,0.008969107,0.031004786,20.212046
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99844444,0.009996559,10116.275,0.008969107,0.031004786,20.217205
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99828887,0.009995345,10114.874,0.008969107,0.031004786,20.222363
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99813336,0.0099941315,10113.472,0.008969107,0.031004786,20.227526
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9979778,0.009992919,10112.07,0.008969107,0.031004786,20.232689
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9978222,0.009991703,10110.667,0.008969107,0.031004786,20.23785
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99766666,0.009990487,10109.266,0.008969107,0.031004786,20.24302
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9975111,0.009989272,10107.862,0.008969107,0.031004786,20.248184
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9973556,0.009988053,10106.461,0.008969107,0.031004786,20.253353
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9972,0.00998683,10105.057,0.008969107,0.031004786,20.258524
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99704444,0.009985609,10103.654,0.008969107,0.031004786,20.263697
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9968889,0.009984389,10102.25,0.008969107,0.031004786,20.268871
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9967333,0.009983165,10100.848,0.008969107,0.031004786,20.274044
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9965778,0.0099819405,10099.444,0.008969107,0.031004786,20.279213
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99642223,0.009980719,10098.041,0.008969107,0.031004786,20.28439
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99626666,0.00997949,10096.637,0.008969107,0.031004786,20.289574
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9961111,0.009978263,10095.233,0.008969107,0.031004786,20.294752
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9959555,0.009977036,10093.829,0.008969107,0.031004786,20.29993
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9958,0.009975805,10092.427,0.008969107,0.031004786,20.305113
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99564445,0.009974578,10091.021,0.008969107,0.031004786,20.310297
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9954889,0.009973347,10089.617,0.008969107,0.031004786,20.31548
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9953333,0.009972112,10088.212,0.008969107,0.031004786,20.320667
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9951778,0.009970877,10086.809,0.008969107,0.031004786,20.325855
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99502224,0.009969642,10085.402,0.008969107,0.031004786,20.331045
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99486667,0.009968408,10083.998,0.008969107,0.031004786,20.336233
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9947111,0.009967171,10082.594,0.008969107,0.031004786,20.341425
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99455553,0.009965933,10081.188,0.008969107,0.031004786,20.346619
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9944,0.009964692,10079.783,0.008969107,0.031004786,20.351812
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99424446,0.009963452,10078.378,0.008969107,0.031004786,20.357008
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9940889,0.009962214,10076.972,0.008969107,0.031004786,20.36221
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9939333,0.009960975,10075.567,0.008969107,0.031004786,20.367405
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99377775,0.009959729,10074.16,0.008969107,0.031004786,20.372606
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99362224,0.009958486,10072.755,0.008969107,0.031004786,20.377808
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9934667,0.009957238,10071.35,0.008969107,0.031004786,20.383009
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9933111,0.009955995,10069.943,0.008969107,0.031004786,20.388212
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99315554,0.009954748,10068.537,0.008969107,0.031004786,20.39342
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.993,0.009953496,10067.129,0.008969107,0.031004786,20.398628
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99284446,0.00995225,10065.723,0.008969107,0.031004786,20.403833
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9926889,0.009950997,10064.316,0.008969107,0.031004786,20.409044
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9925333,0.0099497475,10062.909,0.008969107,0.031004786,20.414255
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99237776,0.009948494,10061.503,0.008969107,0.031004786,20.419466
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99222225,0.009947242,10060.095,0.008969107,0.031004786,20.424679
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9920667,0.009945984,10058.688,0.008969107,0.031004786,20.429895
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9919111,0.0099447295,10057.281,0.008969107,0.031004786,20.435112
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99175555,0.009943472,10055.873,0.008969107,0.031004786,20.44033
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9916,0.00994221,10054.464,0.008969107,0.031004786,20.445547
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99144447,0.009940955,10053.058,0.008969107,0.031004786,20.45077
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9912889,0.009939696,10051.649,0.008969107,0.031004786,20.455992
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99113333,0.009938434,10050.241,0.008969107,0.031004786,20.461218
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99097776,0.009937169,10048.833,0.008969107,0.031004786,20.466442
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9908222,0.009935907,10047.425,0.008969107,0.031004786,20.471666
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9906667,0.009934642,10046.017,0.008969107,0.031004786,20.476892
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9905111,0.0099333795,10044.608,0.008969107,0.031004786,20.482126
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99035555,0.009932113,10043.199,0.008969107,0.031004786,20.487354
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9902,0.009930846,10041.79,0.008969107,0.031004786,20.492588
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9900444,0.009929575,10040.381,0.008969107,0.031004786,20.49782
