trajectory,C,u_per,I,u,soc,R1,C1,R0,k
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4535139,0.010438208,1592.7495,0.007111851,0.05923537
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.45244443,0.01045128,1592.8077,0.007111851,0.0592639
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.451375,0.010464362,1592.8658,0.007111851,0.059292454
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.45030555,0.0104774535,1592.924,0.007111851,0.05932107
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.44923612,0.010490553,1592.982,0.007111851,0.059349705
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.44816667,0.010503663,1593.04,0.007111851,0.059378397
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4470972,0.010516781,1593.098,0.007111851,0.05940709
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4460278,0.010529909,1593.156,0.007111851,0.059435837
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.44495833,0.010543046,1593.2137,0.007111851,0.05946461
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4438889,0.010556192,1593.2717,0.007111851,0.05949341
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.44281945,0.010569347,1593.3295,0.007111851,0.059522267
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.44175,0.010582511,1593.387,0.007111851,0.059551153
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.44068056,0.010595684,1593.4447,0.007111851,0.05958006
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4396111,0.010608866,1593.5024,0.007111851,0.059609015
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.43854168,0.010622056,1593.5599,0.007111851,0.05963801
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.43747222,0.010635257,1593.6173,0.007111851,0.05966703
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.43640277,0.010648466,1593.6749,0.007111851,0.05969609
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.43533334,0.010661683,1593.7322,0.007111851,0.05972517
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.43426389,0.010674911,1593.7896,0.007111851,0.0597543
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.43319446,0.010688145,1593.8469,0.007111851,0.05978347
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.432125,0.010701389,1593.9042,0.007111851,0.059812658
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.43105555,0.010714643,1593.9613,0.007111851,0.059841886
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.42998612,0.010727905,1594.0184,0.007111851,0.059871156
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.42891666,0.010741176,1594.0756,0.007111851,0.059900455
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.42784724,0.010754455,1594.1327,0.007111851,0.05992978
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.42677778,0.010767745,1594.1896,0.007111851,0.05995916
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.42570832,0.010781042,1594.2466,0.007111851,0.05998858
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4246389,0.010794348,1594.3035,0.007111851,0.06001802
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.42356944,0.010807663,1594.3602,0.007111851,0.060047496
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4225,0.010820987,1594.417,0.007111851,0.06007702
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.42143056,0.01083432,1594.4738,0.007111851,0.060106564
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4203611,0.010847662,1594.5305,0.007111851,0.060136154
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.41929168,0.010861011,1594.5869,0.007111851,0.060165774
