(20, 969) 	 R-averaged positive particle concentration [mol.m-3]
(969,) 	 Average positive particle concentration [mol.m-3]
(20, 969) 	 Positive particle surface concentration [mol.m-3]
(969,) 	 X-averaged positive particle surface concentration [mol.m-3]
(969,) 	 Minimum positive particle concentration [mol.m-3]
(969,) 	 Maximum positive particle concentration [mol.m-3]
(969,) 	 Minimum positive particle Minimum positive particle surface concentration [mol.m-3]
(969,) 	 Maximum positive particle surface concentration [mol.m-3]
(20, 20, 969) 	 Positive particle concentration
(20, 969) 	 X-averaged positive particle concentration
(20, 969) 	 R-averaged positive particle concentration
(969,) 	 Average positive particle concentration
(20, 969) 	 Positive particle surface concentration
(969,) 	 X-averaged positive particle surface concentration
(969,) 	 Minimum positive particle concentration
(969,) 	 Maximum positive particle concentration
(969,) 	 Minimum positive particle surface concentration
(969,) 	 Maximum positive particle surface concentration
(20, 20, 969) 	 Positive particle stoichiometry
(20, 969) 	 X-averaged positive particle stoichiometry
(20, 969) 	 R-averaged positive particle stoichiometry
(969,) 	 Average positive particle stoichiometry
(20, 969) 	 Positive particle surface stoichiometry
(969,) 	 X-averaged positive particle surface stoichiometry
(969,) 	 Minimum positive particle stoichiometry
(969,) 	 Maximum positive particle stoichiometry
(969,) 	 Minimum positive particle surface stoichiometry
(969,) 	 Maximum positive particle surface stoichiometry
(20, 969) 	 Positive electrode extent of lithiation
(969,) 	 X-averaged positive electrode extent of lithiation
(20, 969) 	 Negative electrode potential [V]
(969,) 	 X-averaged negative electrode potential [V]
(20, 969) 	 Negative electrode ohmic losses [V]
(969,) 	 X-averaged negative electrode ohmic losses [V]
(21, 969) 	 Gradient of negative electrode potential [V.m-1]
(20, 969) 	 Positive electrode potential [V]
(969,) 	 X-averaged positive electrode potential [V]
(20, 969) 	 Positive electrode ohmic losses [V]
(969,) 	 X-averaged positive electrode ohmic losses [V]
(21, 969) 	 Gradient of positive electrode potential [V.m-1]
(60, 969) 	 Porosity times concentration [mol.m-3]
(20, 969) 	 Negative electrode porosity times concentration [mol.m-3]
(20, 969) 	 Separator porosity times concentration [mol.m-3]
(20, 969) 	 Positive electrode porosity times concentration [mol.m-3]
(969,) 	 Total lithium in electrolyte [mol]
(60, 969) 	 Electrolyte potential [V]
(969,) 	 X-averaged electrolyte potential [V]
(969,) 	 X-averaged electrolyte overpotential [V]
(61, 969) 	 Gradient of electrolyte potential [V.m-1]
(20, 969) 	 Negative electrolyte potential [V]
(969,) 	 X-averaged negative electrolyte potential [V]
(21, 969) 	 Gradient of negative electrolyte potential [V.m-1]
(20, 969) 	 Separator electrolyte potential [V]
(969,) 	 X-averaged separator electrolyte potential [V]
