Model name,Number of parameters,Number of epochs,Train time,Data loss,Metric,Physics loss
FNO_test,198722,3,57.83387445801054,0.978778436779976,MSE,0
FNO_test_1,198722,3,91.01526383400778,0.8080898920694987,MSE,0
FNO_test_1,198722,3,91.01526383400778,0.8080898920694987,MSE,0
